,x,y,type
0,-15.302182,-23.128534,disadvantaged user
1,-2.749953,-13.685317,disadvantaged user
2,36.5999,7.1644616,disadvantaged user
3,-10.229249,-24.012661,disadvantaged user
4,124.492424,5.4952974,disadvantaged user
5,-4.6299753,-36.201668,disadvantaged user
6,116.61258,-0.098469764,disadvantaged user
7,-20.137611,-64.22837,disadvantaged user
8,122.728966,0.85235864,disadvantaged user
9,126.99251,4.3771424,disadvantaged user
10,45.85467,-77.556564,disadvantaged user
11,-52.449997,-16.246304,disadvantaged user
12,-44.273495,93.90401,disadvantaged user
13,-23.69979,73.60421,disadvantaged user
14,126.04657,4.2772985,disadvantaged user
15,58.61346,0.83146363,disadvantaged user
16,118.03861,-1.3971276,disadvantaged user
17,99.32053,-4.7417073,disadvantaged user
18,-5.1903315,35.161385,disadvantaged user
19,-36.324104,86.3389,disadvantaged user
20,116.74411,-1.3006847,disadvantaged user
21,51.482395,4.3942547,disadvantaged user
22,-18.391525,-59.213596,disadvantaged user
23,35.790115,-0.20560083,disadvantaged user
24,-14.920046,-46.281876,disadvantaged user
25,8.209596,14.170985,disadvantaged user
26,119.60058,4.654732,disadvantaged user
27,-44.273495,93.90401,disadvantaged user
28,-43.952614,95.164154,disadvantaged user
29,120.635994,3.516441,disadvantaged user
30,38.584145,-4.796363,disadvantaged user
31,-42.30965,30.46591,disadvantaged user
32,124.94145,4.981265,disadvantaged user
33,46.78501,-74.97561,disadvantaged user
34,124.4295,2.5385377,disadvantaged user
35,-29.346352,-74.08138,disadvantaged user
36,-9.62863,-54.78591,disadvantaged user
37,-51.38585,74.66803,disadvantaged user
38,99.32053,-4.7417073,disadvantaged user
39,120.78439,-0.7360891,disadvantaged user
40,-13.838327,-48.4492,disadvantaged user
41,-78.7738,1.5353307,disadvantaged user
42,120.78109,-2.16132,disadvantaged user
43,-15.091084,7.65268,disadvantaged user
44,125.52801,4.184026,disadvantaged user
45,113.560646,0.9563603,disadvantaged user
46,123.32544,2.6349676,disadvantaged user
47,-4.460284,-62.03387,disadvantaged user
48,4.7759295,13.4401045,disadvantaged user
49,126.108376,3.0773075,disadvantaged user
50,-6.1170053,31.22029,disadvantaged user
51,51.155495,-43.398197,disadvantaged user
52,123.930626,5.8671365,disadvantaged user
53,114.36338,0.83245647,disadvantaged user
54,123.24506,1.8801041,disadvantaged user
55,121.84725,4.1759043,disadvantaged user
56,123.26093,2.1089668,disadvantaged user
57,23.498478,-27.907513,disadvantaged user
58,130.27272,5.0063505,disadvantaged user
59,-62.837696,64.70162,disadvantaged user
60,9.891592,34.208706,disadvantaged user
61,-44.367683,96.45111,disadvantaged user
62,122.864204,3.9522269,disadvantaged user
63,45.675842,-11.521588,disadvantaged user
64,126.108376,3.0773075,disadvantaged user
65,-36.909317,21.73477,disadvantaged user
66,9.1975765,-16.435154,disadvantaged user
67,-18.172684,-80.93977,disadvantaged user
68,122.47719,0.5337367,disadvantaged user
69,19.83786,-20.91622,disadvantaged user
70,121.97866,2.2500234,disadvantaged user
71,4.3293667,20.521141,disadvantaged user
72,97.779854,1.0802957,disadvantaged user
73,-0.826892,-1.5079657,disadvantaged user
74,-46.196007,87.9243,disadvantaged user
75,-15.912341,-51.205082,disadvantaged user
76,112.51317,-2.2566957,disadvantaged user
77,-8.799385,34.523384,disadvantaged user
78,120.74888,0.5636066,disadvantaged user
79,122.55033,5.8197136,disadvantaged user
80,123.60055,2.2485683,disadvantaged user
81,-43.682674,37.270905,disadvantaged user
82,114.87887,1.658911,disadvantaged user
83,4.8677807,-33.096115,disadvantaged user
84,-17.529566,27.230198,disadvantaged user
85,44.729385,-76.61529,disadvantaged user
86,48.19753,-8.501254,disadvantaged user
87,16.152931,-72.54536,disadvantaged user
88,-45.665558,46.196064,disadvantaged user
89,108.443665,-3.3707116,disadvantaged user
90,122.12581,3.7445283,disadvantaged user
91,-53.69088,67.17313,disadvantaged user
92,120.080215,1.2878765,disadvantaged user
93,-11.671112,0.5544632,disadvantaged user
94,129.50127,5.1450915,disadvantaged user
95,-79.29976,1.0799168,disadvantaged user
96,-60.007412,48.975986,disadvantaged user
97,115.06648,4.0872993,disadvantaged user
98,127.05997,4.164167,disadvantaged user
99,121.97866,2.2500234,disadvantaged user
100,-26.239685,78.035904,disadvantaged user
101,35.00019,12.170567,disadvantaged user
102,-4.4522223,-41.49072,disadvantaged user
103,30.223951,-92.61078,disadvantaged user
104,123.6663,6.454535,disadvantaged user
105,-15.480916,-51.15905,disadvantaged user
106,118.70018,-3.0418723,disadvantaged user
107,99.40014,5.6578307,disadvantaged user
108,127.80804,5.921527,disadvantaged user
109,13.260387,2.3415992,disadvantaged user
110,118.09612,3.4662588,disadvantaged user
111,96.72735,1.3250065,disadvantaged user
112,122.739174,1.1686494,disadvantaged user
113,28.55241,12.335623,disadvantaged user
114,111.79829,2.1139395,disadvantaged user
115,121.84712,0.09632912,disadvantaged user
116,5.445609,11.208727,disadvantaged user
117,48.073986,-75.846466,disadvantaged user
118,119.17194,0.240415,disadvantaged user
119,-21.893942,-45.828983,disadvantaged user
120,125.97987,4.5616207,disadvantaged user
121,-32.61718,23.775808,disadvantaged user
122,126.02051,4.1085153,disadvantaged user
123,-41.36008,57.61733,disadvantaged user
124,-9.99764,21.781622,disadvantaged user
125,17.74878,-61.139748,disadvantaged user
126,-58.914757,52.998074,disadvantaged user
127,12.173019,-40.27453,disadvantaged user
128,-9.8775425,24.794193,disadvantaged user
129,-1.0563675,-26.018606,disadvantaged user
130,127.770065,4.530626,disadvantaged user
131,-20.00609,26.878925,disadvantaged user
132,-32.086605,-19.155497,disadvantaged user
133,-58.729572,60.219387,disadvantaged user
134,123.69392,2.926973,disadvantaged user
135,-15.842483,-42.13622,disadvantaged user
136,122.790215,2.491076,disadvantaged user
137,-5.2600136,-43.89857,disadvantaged user
138,-15.872609,-59.427322,disadvantaged user
139,-36.68298,73.59653,disadvantaged user
140,11.834763,39.673794,disadvantaged user
141,-3.1799035,-27.912714,disadvantaged user
142,122.06568,2.9869246,disadvantaged user
143,7.5219827,-82.337654,disadvantaged user
144,31.113108,-0.74805427,disadvantaged user
145,9.151538,23.407652,disadvantaged user
146,125.929115,4.8484344,disadvantaged user
147,-57.636143,-12.752206,disadvantaged user
148,-16.270388,-8.572339,disadvantaged user
149,41.48647,-76.79763,disadvantaged user
150,0.56840444,-21.923769,disadvantaged user
151,44.224506,-70.47486,disadvantaged user
