,x,y,type
0,88.77423,36.373856,disadvantaged user
1,-39.182827,29.014637,disadvantaged user
2,88.66857,32.489296,disadvantaged user
3,-26.192144,77.37469,disadvantaged user
4,-25.641182,-43.880123,disadvantaged user
5,-36.80939,84.59528,disadvantaged user
6,93.58314,30.857885,disadvantaged user
7,-31.933163,27.21351,disadvantaged user
8,91.513756,28.918879,disadvantaged user
9,13.931623,8.258091,disadvantaged user
10,57.378902,-15.826126,disadvantaged user
11,-41.800674,-55.423634,disadvantaged user
12,88.66038,31.966177,disadvantaged user
13,61.324062,-16.180449,disadvantaged user
14,-30.172733,88.776634,disadvantaged user
15,-12.743717,-41.846573,disadvantaged user
16,87.27433,36.796288,disadvantaged user
17,87.26558,36.829826,disadvantaged user
18,-29.533031,89.53735,disadvantaged user
19,60.577454,-67.20755,disadvantaged user
20,92.12363,26.381346,disadvantaged user
21,-12.772081,-49.61065,disadvantaged user
22,59.19012,-67.70725,disadvantaged user
23,-32.79388,92.53996,disadvantaged user
24,90.80656,28.026775,disadvantaged user
25,26.57744,26.00453,disadvantaged user
26,13.382715,39.609386,disadvantaged user
27,83.37762,39.01481,disadvantaged user
28,87.09137,36.142715,disadvantaged user
29,86.33763,36.628784,disadvantaged user
30,-30.756174,87.18986,disadvantaged user
31,-4.9908276,-25.627815,disadvantaged user
32,-12.562599,-28.632538,disadvantaged user
33,89.654686,28.897459,disadvantaged user
34,-2.7179532,28.87354,disadvantaged user
35,-31.092281,-38.88128,disadvantaged user
36,87.52334,36.13605,disadvantaged user
37,-28.517656,79.259056,disadvantaged user
38,-25.016972,43.02568,disadvantaged user
39,48.850628,2.331355,disadvantaged user
40,-32.404255,-45.245064,disadvantaged user
41,-36.94473,87.7281,disadvantaged user
42,94.393166,27.585794,disadvantaged user
43,-74.21838,27.950552,disadvantaged user
44,-36.584354,87.09928,disadvantaged user
45,-37.41452,-54.122864,disadvantaged user
46,91.8798,27.996628,disadvantaged user
47,-51.177574,-23.743717,disadvantaged user
48,89.10873,32.663033,disadvantaged user
49,-30.756174,87.18986,disadvantaged user
50,-30.32167,48.00926,disadvantaged user
51,95.7555,27.526875,disadvantaged user
52,91.53661,20.697338,disadvantaged user
53,3.839195,-15.412249,disadvantaged user
54,-40.616726,-35.012764,disadvantaged user
55,-52.979855,4.265287,disadvantaged user
56,16.860722,-38.805748,disadvantaged user
57,-30.172733,88.776634,disadvantaged user
58,-16.048613,-41.706184,disadvantaged user
59,59.498337,-67.10685,disadvantaged user
60,-30.182053,-46.921467,disadvantaged user
61,37.46052,-14.8579645,disadvantaged user
62,89.11482,31.776825,disadvantaged user
63,97.21277,3.77897,disadvantaged user
64,2.688163,45.605896,disadvantaged user
65,68.54942,-13.795165,disadvantaged user
66,-24.806242,39.665028,disadvantaged user
67,91.35195,32.892445,disadvantaged user
68,52.226837,-18.778679,disadvantaged user
69,20.541853,-38.6168,disadvantaged user
70,2.1815896,-23.505024,disadvantaged user
71,86.28482,35.08432,disadvantaged user
72,87.11646,36.208084,disadvantaged user
73,-24.508646,50.196087,disadvantaged user
74,86.28482,35.08432,disadvantaged user
75,91.53661,20.697338,disadvantaged user
76,89.671394,33.303078,disadvantaged user
77,-0.74934876,-23.65776,disadvantaged user
78,87.861176,36.40967,disadvantaged user
79,-49.309696,-12.494125,disadvantaged user
80,89.1284,32.39385,disadvantaged user
81,22.712624,-32.18451,disadvantaged user
82,91.07454,34.031094,disadvantaged user
83,-24.508266,-45.355034,disadvantaged user
84,-31.508453,-3.6733384,disadvantaged user
85,89.74204,35.505928,disadvantaged user
86,91.61358,29.233929,disadvantaged user
87,-1.3626633,-60.786488,disadvantaged user
88,97.9545,19.000145,disadvantaged user
89,-31.675226,92.45446,disadvantaged user
90,-24.156023,-22.80501,disadvantaged user
91,67.6032,-11.473517,disadvantaged user
92,88.898636,35.3079,disadvantaged user
93,-36.815853,-48.90867,disadvantaged user
94,90.52122,32.15866,disadvantaged user
95,17.679302,19.198368,disadvantaged user
96,-36.17518,-47.906193,disadvantaged user
97,-29.67925,-42.32185,disadvantaged user
98,90.3121,33.695107,disadvantaged user
99,20.817358,29.107159,disadvantaged user
100,84.03708,38.67677,disadvantaged user
101,-56.726818,-36.366024,disadvantaged user
102,89.654686,28.897459,disadvantaged user
103,19.866001,-26.38094,disadvantaged user
104,7.151517,13.197926,disadvantaged user
105,-2.9514272,-25.125412,disadvantaged user
106,91.235,34.542522,disadvantaged user
107,-9.417961,-64.27409,disadvantaged user
108,-25.152052,-56.46636,disadvantaged user
109,-12.562599,-28.632538,disadvantaged user
110,92.72925,28.39914,disadvantaged user
111,-39.852104,24.280025,disadvantaged user
112,90.97593,28.066353,disadvantaged user
113,-74.36316,28.075792,disadvantaged user
114,94.86449,21.204826,disadvantaged user
115,-43.060898,-4.617257,disadvantaged user
116,87.37762,36.061,disadvantaged user
117,19.697893,-33.141857,disadvantaged user
118,-17.348232,-47.60466,disadvantaged user
119,91.83649,33.939785,disadvantaged user
120,87.98524,36.054558,disadvantaged user
121,-26.511381,30.747658,disadvantaged user
122,-9.468072,54.01245,disadvantaged user
123,-49.85863,-7.2751985,disadvantaged user
124,86.59272,37.47877,disadvantaged user
125,11.264258,40.695576,disadvantaged user
126,-32.558777,-57.232502,disadvantaged user
127,-32.754944,91.30653,disadvantaged user
128,-35.335583,-54.016365,disadvantaged user
129,38.27658,2.4490595,disadvantaged user
130,1.3468062,34.376163,disadvantaged user
131,97.542336,12.99924,disadvantaged user
132,90.467,35.42079,disadvantaged user
133,-23.53987,12.878444,disadvantaged user
134,0.48967272,24.762882,disadvantaged user
135,48.154182,-26.428686,disadvantaged user
136,84.07585,37.453484,disadvantaged user
137,38.202457,-15.143727,disadvantaged user
138,-13.723555,78.50013,disadvantaged user
139,94.33649,21.928436,disadvantaged user
140,87.54007,36.43206,disadvantaged user
141,-60.400963,-0.24497594,disadvantaged user
142,-29.056387,-37.622772,disadvantaged user
143,21.905388,-41.16923,disadvantaged user
144,91.36207,34.802704,disadvantaged user
145,42.326656,-11.997014,disadvantaged user
146,-17.780617,-24.539303,disadvantaged user
147,98.20689,27.055725,disadvantaged user
148,8.031427,29.558876,disadvantaged user
149,-25.703894,-11.393222,disadvantaged user
150,89.206184,33.437378,disadvantaged user
151,-1.071724,-45.768944,disadvantaged user
152,-9.517287,-43.390453,disadvantaged user
153,-55.091488,-33.78457,disadvantaged user
154,-1.3626633,-60.786488,disadvantaged user
155,11.162476,-31.754251,disadvantaged user
156,15.772332,-18.272614,disadvantaged user
157,-32.09176,61.107025,disadvantaged user
158,93.1451,33.176224,disadvantaged user
159,88.276825,33.776134,disadvantaged user
160,85.88582,37.87233,disadvantaged user
161,98.041084,28.216614,disadvantaged user
162,93.62603,34.535828,disadvantaged user
163,-4.8609767,-58.15233,disadvantaged user
164,86.30611,37.824875,disadvantaged user
165,2.9405196,-35.983902,disadvantaged user
166,92.31845,24.84118,disadvantaged user
167,3.8451076,-83.90554,disadvantaged user
168,87.197235,36.350224,disadvantaged user
169,-30.579208,5.036824,disadvantaged user
170,88.71245,35.71337,disadvantaged user
171,-50.31395,-41.145847,disadvantaged user
172,-18.649942,3.371196,disadvantaged user
173,35.626087,10.545882,disadvantaged user
174,54.35839,-24.621754,disadvantaged user
175,61.36761,-68.53037,disadvantaged user
176,28.561548,-26.52963,disadvantaged user
177,-32.158623,89.49185,disadvantaged user
178,88.72134,34.94987,disadvantaged user
179,48.70201,-21.02,disadvantaged user
180,19.190313,24.69192,disadvantaged user
181,51.93382,-62.48521,disadvantaged user
