,x,y,type
0,110.45876,20.63118,disadvantaged user
1,-21.857859,-44.626602,disadvantaged user
2,6.2465158,-50.166363,disadvantaged user
3,-0.9120404,66.15628,disadvantaged user
4,-34.404713,6.2426353,disadvantaged user
5,-11.567049,-41.80703,disadvantaged user
6,-11.206853,-12.246809,disadvantaged user
7,92.99056,-2.5672824,disadvantaged user
8,108.96868,15.5513735,disadvantaged user
9,-24.35137,71.778175,disadvantaged user
10,-30.750835,-96.03709,disadvantaged user
11,112.720604,24.78605,disadvantaged user
12,111.06439,22.30774,disadvantaged user
13,29.92617,14.660281,disadvantaged user
14,107.983925,14.40757,disadvantaged user
15,49.60877,-0.49190864,disadvantaged user
16,112.14915,20.46481,disadvantaged user
17,-20.466528,-37.286945,disadvantaged user
18,-12.818112,95.797226,disadvantaged user
19,-18.663055,83.48508,disadvantaged user
20,111.72248,21.443544,disadvantaged user
21,-12.818112,95.797226,disadvantaged user
22,113.058716,24.489265,disadvantaged user
23,21.12062,-72.62146,disadvantaged user
24,-21.015461,-29.044065,disadvantaged user
25,-59.672554,40.928417,disadvantaged user
26,13.732506,-44.77535,disadvantaged user
27,-34.85097,10.027243,disadvantaged user
28,109.89556,18.308475,disadvantaged user
29,-49.853832,-8.866222,disadvantaged user
30,112.791374,16.963871,disadvantaged user
31,-23.08394,-89.87699,disadvantaged user
32,-18.543064,44.504032,disadvantaged user
33,-50.720505,25.817577,disadvantaged user
34,-55.025616,21.288338,disadvantaged user
35,-28.755867,-94.28204,disadvantaged user
36,-14.4180975,95.45652,disadvantaged user
37,41.201633,-4.6019683,disadvantaged user
38,15.2853365,39.87939,disadvantaged user
39,-7.742056,83.08088,disadvantaged user
40,16.143631,-29.652296,disadvantaged user
41,41.185165,-37.20367,disadvantaged user
42,111.84265,27.167616,disadvantaged user
43,114.65044,22.515728,disadvantaged user
44,109.246994,17.42575,disadvantaged user
45,47.66724,-41.476456,disadvantaged user
46,-53.18894,-16.49728,disadvantaged user
47,109.70724,10.54352,disadvantaged user
48,113.4357,20.955368,disadvantaged user
49,-16.927212,-51.869686,disadvantaged user
50,0.09284752,33.750023,disadvantaged user
51,4.3245406,-5.9018016,disadvantaged user
52,113.75678,22.985409,disadvantaged user
53,110.972984,18.837856,disadvantaged user
54,111.7208,28.790453,disadvantaged user
55,-13.498184,96.727554,disadvantaged user
56,-17.364265,91.09156,disadvantaged user
57,-8.52287,-38.861095,disadvantaged user
58,113.740906,19.83448,disadvantaged user
59,24.554228,12.854326,disadvantaged user
60,111.27604,12.177439,disadvantaged user
61,-14.850318,-32.258896,disadvantaged user
62,113.04513,20.161478,disadvantaged user
63,-9.846866,12.564715,disadvantaged user
64,112.323494,24.509228,disadvantaged user
65,31.388372,-37.179222,disadvantaged user
66,-20.497883,21.73227,disadvantaged user
67,46.60497,-0.17225936,disadvantaged user
68,-8.52287,-38.861095,disadvantaged user
69,-52.08504,2.006358,disadvantaged user
70,113.954025,20.630219,disadvantaged user
71,-59.34611,40.5213,disadvantaged user
72,108.916046,16.4909,disadvantaged user
73,106.21015,-0.53612727,disadvantaged user
74,-3.6443343,-30.378239,disadvantaged user
75,104.01145,7.616334,disadvantaged user
76,37.796482,6.8612084,disadvantaged user
77,-23.560791,-35.638683,disadvantaged user
78,112.87966,20.838224,disadvantaged user
79,5.541826,-46.46343,disadvantaged user
80,112.86724,23.596975,disadvantaged user
81,-18.687002,-51.22277,disadvantaged user
82,112.11322,26.707447,disadvantaged user
83,22.635517,-2.053188,disadvantaged user
84,111.88839,26.759033,disadvantaged user
85,113.740906,19.83448,disadvantaged user
86,113.633255,21.948763,disadvantaged user
87,7.3937435,-2.1586297,disadvantaged user
88,-39.53194,8.773956,disadvantaged user
89,-9.078947,-100.37036,disadvantaged user
90,113.637596,20.332933,disadvantaged user
91,5.4861,-46.117046,disadvantaged user
92,94.09525,-1.917271,disadvantaged user
93,-59.826286,40.843655,disadvantaged user
94,3.82611,-39.923065,disadvantaged user
95,-9.121093,-100.301994,disadvantaged user
96,-5.6598945,-21.588562,disadvantaged user
97,2.9466097,-65.86507,disadvantaged user
98,112.25044,23.436016,disadvantaged user
99,-11.811078,64.040886,disadvantaged user
100,-54.74133,16.0817,disadvantaged user
101,-8.654003,-27.148224,disadvantaged user
102,109.68965,16.126583,disadvantaged user
103,-19.76675,-16.39577,disadvantaged user
104,112.435394,25.57655,disadvantaged user
105,110.961395,12.423865,disadvantaged user
106,110.9217,20.099691,disadvantaged user
107,96.489204,8.8906975,disadvantaged user
108,111.424545,24.86485,disadvantaged user
109,-14.730185,35.47017,disadvantaged user
110,-6.7947807,52.722073,disadvantaged user
111,5.175732,67.60873,disadvantaged user
112,115.38508,19.96214,disadvantaged user
113,8.442086,74.75365,disadvantaged user
114,111.39677,13.168311,disadvantaged user
115,13.95917,-41.199997,disadvantaged user
116,112.73814,24.594137,disadvantaged user
117,-8.552148,37.466145,disadvantaged user
118,-15.044817,-37.132305,disadvantaged user
119,12.12339,-83.081924,disadvantaged user
120,96.489204,8.8906975,disadvantaged user
121,-12.977004,94.85246,disadvantaged user
122,113.01466,20.539024,disadvantaged user
123,-24.009756,-93.37492,disadvantaged user
124,114.84714,18.216105,disadvantaged user
125,15.569085,-61.5397,disadvantaged user
126,-2.6596258,-35.842663,disadvantaged user
127,12.18692,8.9285,disadvantaged user
128,111.40264,18.338732,disadvantaged user
129,114.037155,21.307953,disadvantaged user
130,10.2318325,-55.470478,disadvantaged user
131,113.82499,20.541779,disadvantaged user
132,7.109614,59.514057,disadvantaged user
133,14.432944,-77.811966,disadvantaged user
134,113.839775,23.916473,disadvantaged user
135,12.732337,-52.62265,disadvantaged user
136,-52.398106,7.610647,disadvantaged user
137,108.916046,16.4909,disadvantaged user
138,113.0569,27.001072,disadvantaged user
139,8.693372,3.2873461,disadvantaged user
140,111.418625,26.608671,disadvantaged user
141,-3.4867277,59.90752,disadvantaged user
142,112.72592,26.57462,disadvantaged user
143,-35.11619,-38.937683,disadvantaged user
144,-20.466528,-37.286945,disadvantaged user
145,112.435394,25.57655,disadvantaged user
146,113.520096,16.12163,disadvantaged user
147,-21.358501,49.907627,disadvantaged user
148,113.6589,19.74813,disadvantaged user
149,110.66007,22.492983,disadvantaged user
150,101.985565,7.1689577,disadvantaged user
151,-57.12755,-16.045889,disadvantaged user
152,113.10415,13.727165,disadvantaged user
153,113.04513,20.161478,disadvantaged user
154,-19.715939,-66.04811,disadvantaged user
155,-47.33712,4.8271723,disadvantaged user
156,106.155174,7.6647067,disadvantaged user
157,114.89404,16.639696,disadvantaged user
158,46.583157,-15.512054,disadvantaged user
159,110.61376,13.626753,disadvantaged user
160,112.9375,19.351576,disadvantaged user
161,-13.806823,9.441371,disadvantaged user
162,111.06165,19.760084,disadvantaged user
163,114.52803,15.91398,disadvantaged user
164,110.972984,18.837856,disadvantaged user
165,113.610275,21.646425,disadvantaged user
166,112.073425,26.740177,disadvantaged user
167,-52.306522,28.939867,disadvantaged user
168,110.83545,16.12954,disadvantaged user
169,-0.14166547,2.5716598,disadvantaged user
170,110.59893,25.850843,disadvantaged user
171,-12.746468,32.314484,disadvantaged user
172,-54.35151,15.237225,disadvantaged user
173,112.62388,22.373299,disadvantaged user
174,15.569085,-61.5397,disadvantaged user
175,-0.7202037,29.628683,disadvantaged user
176,111.635315,21.199444,disadvantaged user
177,-55.467144,3.3601117,disadvantaged user
178,111.53817,17.172283,disadvantaged user
179,-44.249123,4.2964034,disadvantaged user
180,-0.9120404,66.15628,disadvantaged user
181,32.28931,18.143484,disadvantaged user
182,112.31003,18.190348,disadvantaged user
183,112.14915,20.46481,disadvantaged user
184,112.11013,9.154448,disadvantaged user
185,8.05555,-3.830896,disadvantaged user
186,102.65084,9.114247,disadvantaged user
187,-5.2223835,18.158325,disadvantaged user
188,113.50497,22.449383,disadvantaged user
189,-16.888775,-41.661327,disadvantaged user
190,112.2164,23.475712,disadvantaged user
191,36.763126,-30.846264,disadvantaged user
192,-41.27483,-44.661873,disadvantaged user
193,-30.016973,66.594734,disadvantaged user
194,113.26928,20.836657,disadvantaged user
