,x,y,type
0,18.426552,43.404083,disadvantaged user
1,94.20325,28.244364,disadvantaged user
2,95.85643,20.738619,disadvantaged user
3,-4.1386633,-49.284653,disadvantaged user
4,94.74859,29.271643,disadvantaged user
5,28.89521,-6.7728295,disadvantaged user
6,96.371994,23.07511,disadvantaged user
7,-10.940818,-39.308132,disadvantaged user
8,0.115499586,-12.884715,disadvantaged user
9,92.08206,32.30604,disadvantaged user
10,-36.530346,84.44733,disadvantaged user
11,-15.39113,-56.25708,disadvantaged user
12,93.66304,26.674896,disadvantaged user
13,28.84439,17.43894,disadvantaged user
14,94.640495,27.530924,disadvantaged user
15,-28.549479,69.392845,disadvantaged user
16,-35.745884,82.78016,disadvantaged user
17,61.085716,-18.315428,disadvantaged user
18,100.70676,15.155536,disadvantaged user
19,-78.18054,21.487188,disadvantaged user
20,95.17969,24.873785,disadvantaged user
21,10.699872,-88.31473,disadvantaged user
22,94.12246,26.010788,disadvantaged user
23,-28.770632,30.505228,disadvantaged user
24,10.127578,-89.982544,disadvantaged user
25,-48.34112,-26.862865,disadvantaged user
26,94.2191,25.559526,disadvantaged user
27,10.475514,-89.769005,disadvantaged user
28,96.02498,27.435106,disadvantaged user
29,96.19635,21.090714,disadvantaged user
30,-3.3241873,-15.02202,disadvantaged user
31,9.589553,-26.095844,disadvantaged user
32,96.953926,20.760359,disadvantaged user
33,32.10294,6.4642615,disadvantaged user
34,98.37046,18.22752,disadvantaged user
35,-36.530346,84.44733,disadvantaged user
36,94.0921,23.548023,disadvantaged user
37,-51.93252,55.03261,disadvantaged user
38,96.08127,22.630545,disadvantaged user
39,36.581028,6.203595,disadvantaged user
40,-38.512123,79.9407,disadvantaged user
41,-42.82902,7.703217,disadvantaged user
42,54.40528,-7.4337425,disadvantaged user
43,44.811916,-5.446322,disadvantaged user
44,-32.406624,-4.4343033,disadvantaged user
45,-11.737644,-27.385965,disadvantaged user
46,95.551605,27.41421,disadvantaged user
47,99.90663,18.3923,disadvantaged user
48,22.463886,38.751442,disadvantaged user
49,-25.954723,-37.008904,disadvantaged user
50,21.438007,28.330511,disadvantaged user
51,-41.5656,-32.23685,disadvantaged user
52,95.99553,26.782705,disadvantaged user
53,37.133503,-5.4869266,disadvantaged user
54,92.403656,31.046469,disadvantaged user
55,-9.740478,-60.22448,disadvantaged user
56,96.499825,28.131311,disadvantaged user
57,-43.344265,-44.70033,disadvantaged user
58,96.388695,21.14047,disadvantaged user
59,76.206116,-18.58893,disadvantaged user
60,98.070625,18.796282,disadvantaged user
61,20.540173,-45.137623,disadvantaged user
62,-25.687618,7.059919,disadvantaged user
63,93.51224,26.093798,disadvantaged user
64,95.76269,26.3467,disadvantaged user
65,94.96473,27.922224,disadvantaged user
66,91.48183,31.822613,disadvantaged user
67,1.4988182,-9.849236,disadvantaged user
68,93.96698,29.359926,disadvantaged user
69,-36.19185,84.58649,disadvantaged user
70,23.374174,26.1564,disadvantaged user
71,11.139666,-89.992065,disadvantaged user
72,95.58465,27.07991,disadvantaged user
73,-34.027374,67.74528,disadvantaged user
74,14.997956,23.175137,disadvantaged user
75,98.87983,11.382473,disadvantaged user
76,4.435235,-45.725857,disadvantaged user
77,23.507513,0.6710113,disadvantaged user
78,-15.84024,43.467495,disadvantaged user
79,34.01942,-16.297932,disadvantaged user
80,93.216705,28.045563,disadvantaged user
81,91.33513,-2.5461113,disadvantaged user
82,94.14044,23.46271,disadvantaged user
