,x,y,type
0,-10.9249325,13.128992,disadvantaged user
1,-42.25067,44.901535,disadvantaged user
2,60.32427,8.05521,disadvantaged user
3,25.039291,9.589896,disadvantaged user
4,17.380465,-11.365673,disadvantaged user
5,14.440937,-4.2160673,disadvantaged user
6,4.067656,-35.717754,disadvantaged user
7,-43.802635,54.978367,disadvantaged user
8,-3.8302422,-79.19261,disadvantaged user
9,-12.647455,31.232964,disadvantaged user
10,21.73868,-39.235718,disadvantaged user
11,-23.668802,43.623093,disadvantaged user
12,-6.1158376,-78.56432,disadvantaged user
13,-30.414347,62.53116,disadvantaged user
14,49.944004,-3.1529353,disadvantaged user
15,6.075662,-37.63887,disadvantaged user
16,41.629837,-70.77717,disadvantaged user
17,-32.39262,-43.91231,disadvantaged user
18,3.8839052,-56.55425,disadvantaged user
19,18.840866,-7.1752644,disadvantaged user
20,-13.983405,16.970062,disadvantaged user
21,-4.615981,-25.424894,disadvantaged user
22,-39.49352,66.34692,disadvantaged user
23,-30.875559,61.607304,disadvantaged user
24,11.166697,-6.3094416,disadvantaged user
25,-10.558506,-75.2748,disadvantaged user
26,2.9423225,-48.963295,disadvantaged user
27,6.6206074,42.581367,disadvantaged user
28,105.00182,4.274144,disadvantaged user
29,-21.195637,-67.16471,disadvantaged user
30,5.951855,10.627583,disadvantaged user
31,102.508194,4.885868,disadvantaged user
32,10.493104,-25.026567,disadvantaged user
33,-34.498966,11.304938,disadvantaged user
34,31.16064,-3.7132134,disadvantaged user
35,24.757975,33.02619,disadvantaged user
36,50.713234,8.733314,disadvantaged user
37,2.1563072,21.104147,disadvantaged user
38,-29.151274,41.536633,disadvantaged user
39,-61.20873,25.958536,disadvantaged user
40,96.06867,7.2197075,disadvantaged user
41,33.17099,9.981663,disadvantaged user
42,-50.99465,81.01161,disadvantaged user
43,77.9416,0.29723892,disadvantaged user
44,-64.61365,25.406477,disadvantaged user
45,-3.787966,-51.678417,disadvantaged user
46,-45.89253,-13.430203,disadvantaged user
47,39.07622,-25.641773,disadvantaged user
48,-11.389014,-31.231857,disadvantaged user
49,77.22625,14.849079,disadvantaged user
50,-29.672657,-25.935505,disadvantaged user
51,86.76538,13.945732,disadvantaged user
52,-4.563794,-45.16487,disadvantaged user
53,68.85205,3.6613538,disadvantaged user
54,6.6206074,42.581367,disadvantaged user
55,-42.25067,44.901535,disadvantaged user
56,-27.93208,-26.597998,disadvantaged user
57,43.599167,-44.647827,disadvantaged user
58,90.8492,-3.4303029,disadvantaged user
59,37.22393,18.30176,disadvantaged user
60,-51.064568,1.5363629,disadvantaged user
61,-47.466957,-5.399127,disadvantaged user
62,-12.40256,34.655174,disadvantaged user
63,118.84842,1.2322431,disadvantaged user
64,73.67145,11.116384,disadvantaged user
65,38.31561,-44.715878,disadvantaged user
66,-6.4651484,-30.492598,disadvantaged user
67,-5.816739,-39.859318,disadvantaged user
68,32.931816,-76.69041,disadvantaged user
69,-43.79061,69.507416,disadvantaged user
70,19.460836,-46.72284,disadvantaged user
71,-20.53789,-55.259937,disadvantaged user
72,-17.209492,12.623161,disadvantaged user
73,-25.478119,26.333174,disadvantaged user
74,-10.920554,37.37801,disadvantaged user
75,-43.71147,28.489342,disadvantaged user
76,-35.954884,10.942029,disadvantaged user
77,-47.156506,33.975365,disadvantaged user
78,-47.608116,-35.397118,disadvantaged user
79,-4.229412,-88.363754,disadvantaged user
80,15.176857,-64.55036,disadvantaged user
81,77.519966,0.05481496,disadvantaged user
82,5.97383,-25.728712,disadvantaged user
83,-67.737175,48.248554,disadvantaged user
84,40.065937,-19.557104,disadvantaged user
85,50.14579,-44.64288,disadvantaged user
86,-14.593579,-35.03733,disadvantaged user
87,-12.801901,57.26915,disadvantaged user
88,-32.149372,26.574467,disadvantaged user
89,-37.59183,-35.26301,disadvantaged user
90,-40.38643,-28.760912,disadvantaged user
91,-9.838489,19.67956,disadvantaged user
92,-46.957577,56.840122,disadvantaged user
93,-40.988068,-30.038595,disadvantaged user
94,-56.134907,32.531017,disadvantaged user
95,5.0304804,-34.976974,disadvantaged user
96,44.63534,-4.996975,disadvantaged user
97,77.455574,0.48505095,disadvantaged user
98,-53.699863,-51.375984,disadvantaged user
99,3.6912298,-50.703903,disadvantaged user
100,9.741006,-49.78793,disadvantaged user
101,4.315603,-74.622925,disadvantaged user
102,-33.74109,17.211996,disadvantaged user
103,-19.02207,-10.755145,disadvantaged user
104,-39.433327,-30.311388,disadvantaged user
105,-40.840794,37.212936,disadvantaged user
106,1.0458164,-65.400154,disadvantaged user
107,-10.945754,24.992699,disadvantaged user
108,-3.0785286,-18.99141,disadvantaged user
109,-1.9903516,37.598457,disadvantaged user
110,-34.022644,48.312447,disadvantaged user
111,-79.27086,1.227425,disadvantaged user
112,49.51474,14.85459,disadvantaged user
113,43.206985,-71.43546,disadvantaged user
114,-44.804646,3.4444304,disadvantaged user
115,-8.514543,-13.020836,disadvantaged user
116,32.700466,-1.9886535,disadvantaged user
117,-70.18507,48.949448,disadvantaged user
118,-24.992285,-71.37485,disadvantaged user
119,28.591103,-89.72957,disadvantaged user
120,-26.964746,27.346725,disadvantaged user
121,109.30975,2.9232616,disadvantaged user
122,-36.759884,-19.083708,disadvantaged user
123,-32.330364,-50.275177,disadvantaged user
124,8.987826,39.494072,disadvantaged user
125,-43.12871,57.684147,disadvantaged user
126,-37.092793,15.656865,disadvantaged user
127,-12.595457,-49.552773,disadvantaged user
128,-2.7645986,66.486534,disadvantaged user
129,-36.499702,-3.6437123,disadvantaged user
130,87.5074,3.327231,disadvantaged user
131,-4.8500814,-55.582253,disadvantaged user
132,-25.566706,-3.2812238,disadvantaged user
133,-15.863107,-56.793945,disadvantaged user
134,102.28963,4.612881,disadvantaged user
135,29.374905,-25.934729,disadvantaged user
136,-10.787423,-16.011032,disadvantaged user
137,29.93214,6.576023,disadvantaged user
138,-27.498775,-36.874573,disadvantaged user
139,91.122925,3.1989453,disadvantaged user
140,35.679573,-10.524685,disadvantaged user
141,-16.5835,22.111982,disadvantaged user
142,47.490753,15.440198,disadvantaged user
143,39.729618,-12.043527,disadvantaged user
144,-42.759712,55.110344,disadvantaged user
145,-0.7672305,29.750162,disadvantaged user
146,-58.112022,5.835798,disadvantaged user
147,-50.93982,71.002304,disadvantaged user
148,24.167336,-1.0406886,disadvantaged user
149,49.59554,14.040697,disadvantaged user
150,-43.90771,2.2119079,disadvantaged user
151,-14.060491,-38.459553,disadvantaged user
152,-8.00495,13.594489,disadvantaged user
153,9.747993,28.893114,disadvantaged user
154,-10.331019,31.462015,disadvantaged user
155,13.074316,-18.875748,disadvantaged user
156,117.80543,0.48961493,disadvantaged user
157,29.448595,-47.192154,disadvantaged user
158,-0.058634467,-3.2191434,disadvantaged user
159,-45.166508,39.54726,disadvantaged user
160,4.3293667,20.521141,disadvantaged user
161,63.102085,10.192634,disadvantaged user
162,-11.702259,42.038948,disadvantaged user
163,90.166084,0.98580194,disadvantaged user
164,-31.725975,69.759964,disadvantaged user
165,-25.872805,1.7255354,disadvantaged user
166,-29.390978,72.793594,disadvantaged user
167,-36.24459,72.01898,disadvantaged user
168,-31.2513,-50.7966,disadvantaged user
169,-17.35202,-64.10647,disadvantaged user
170,-38.28698,85.89946,disadvantaged user
171,-18.855793,56.855423,disadvantaged user
172,83.27957,11.041478,disadvantaged user
173,-34.14671,59.271362,disadvantaged user
174,-15.428974,22.352173,disadvantaged user
175,44.42835,5.518626,disadvantaged user
176,-29.545065,-23.159014,disadvantaged user
177,32.876022,-13.763094,disadvantaged user
178,-47.93991,31.51052,disadvantaged user
179,-22.450895,47.802452,disadvantaged user
180,41.477974,-70.50874,disadvantaged user
181,42.38553,18.824923,disadvantaged user
182,-41.92958,38.460545,disadvantaged user
183,0.6498848,-20.34855,disadvantaged user
184,13.930347,23.89836,disadvantaged user
185,71.81488,6.353287,disadvantaged user
186,-40.56329,85.49919,disadvantaged user
187,-47.076664,20.530693,disadvantaged user
188,29.548208,38.678883,disadvantaged user
189,-71.1307,50.575893,disadvantaged user
190,-35.805824,-31.509314,disadvantaged user
191,-5.997504,-66.93608,disadvantaged user
192,-3.2971408,8.418177,disadvantaged user
193,54.798935,-2.6334116,disadvantaged user
194,78.65683,6.6254454,disadvantaged user
195,4.872284,12.281998,disadvantaged user
196,9.027208,-60.98836,disadvantaged user
197,24.963604,-18.418364,disadvantaged user
198,-16.303194,-19.739664,disadvantaged user
199,42.031918,-72.73828,disadvantaged user
200,-48.130077,45.07235,disadvantaged user
201,21.907639,-41.906757,disadvantaged user
202,22.888767,-40.681503,disadvantaged user
