,x,y,type
0,49.22948,-28.169735,disadvantaged user
1,-34.5413,-40.546112,disadvantaged user
2,-47.990612,37.232365,disadvantaged user
3,0.025711048,-20.830425,disadvantaged user
4,4.415839,-20.689167,disadvantaged user
5,39.01251,8.135533,disadvantaged user
6,-21.56995,-16.6663,disadvantaged user
7,42.90976,-12.150445,disadvantaged user
8,21.235811,35.338665,disadvantaged user
9,-30.985065,-13.318079,disadvantaged user
10,-19.476686,54.417686,disadvantaged user
11,23.299084,0.9067683,disadvantaged user
12,-26.36891,-58.315998,disadvantaged user
13,21.620415,-14.084093,disadvantaged user
14,1.1163974,39.173492,disadvantaged user
15,-56.642315,-20.507631,disadvantaged user
16,36.57049,-6.0756445,disadvantaged user
17,-22.630507,-50.57307,disadvantaged user
18,3.5749063,-40.277664,disadvantaged user
19,23.036907,-49.23071,disadvantaged user
20,5.619432,-5.7095494,disadvantaged user
21,7.671075,-32.789093,disadvantaged user
22,-39.1126,-14.447013,disadvantaged user
23,-33.67053,-25.530361,disadvantaged user
24,6.766107,25.691322,disadvantaged user
25,-24.046513,84.89301,disadvantaged user
26,3.3853276,5.4581246,disadvantaged user
27,55.631317,-17.43728,disadvantaged user
28,10.57578,34.20336,disadvantaged user
29,10.116036,-45.104218,disadvantaged user
30,-33.64488,35.56957,disadvantaged user
31,41.114075,-17.602583,disadvantaged user
32,-35.85071,58.970604,disadvantaged user
33,9.62638,38.114582,disadvantaged user
34,30.836126,0.20322648,disadvantaged user
35,-5.375783,58.482662,disadvantaged user
36,-5.231579,-6.0169706,disadvantaged user
37,-29.746128,9.121069,disadvantaged user
38,6.73558,22.757103,disadvantaged user
39,7.762022,-23.373703,disadvantaged user
40,98.40255,20.309792,disadvantaged user
41,4.2098274,38.436436,disadvantaged user
42,32.083252,-48.637115,disadvantaged user
43,42.10968,-22.768484,disadvantaged user
44,91.81633,9.744724,disadvantaged user
45,-40.44865,-36.81319,disadvantaged user
46,-3.1022165,21.809303,disadvantaged user
47,31.043287,-9.754249,disadvantaged user
48,17.134766,-8.748314,disadvantaged user
49,-25.230524,61.650375,disadvantaged user
50,-14.775689,-39.546043,disadvantaged user
51,-91.13916,12.832525,disadvantaged user
52,-29.239742,-15.366148,disadvantaged user
53,-31.726568,36.853474,disadvantaged user
54,-56.19137,3.3491325,disadvantaged user
55,-41.3214,63.405403,disadvantaged user
56,-5.7016506,61.676853,disadvantaged user
