,x,y,type
0,54.824818,-1.1345131,disadvantaged user
1,5.104938,-29.367641,disadvantaged user
2,38.214176,18.8845,disadvantaged user
3,3.5174594,-34.27823,disadvantaged user
4,-19.542967,-16.882437,disadvantaged user
5,31.380463,15.654809,disadvantaged user
6,56.72341,-34.232063,disadvantaged user
7,-12.9884815,-7.5165377,disadvantaged user
8,-51.486656,16.382643,disadvantaged user
9,-10.893494,12.154236,disadvantaged user
10,-31.471786,56.263023,disadvantaged user
11,-20.865606,18.202827,disadvantaged user
12,-20.402912,-55.879734,disadvantaged user
13,5.5354595,-22.093891,disadvantaged user
14,-47.626297,0.666855,disadvantaged user
15,12.684035,-63.930977,disadvantaged user
16,35.0959,5.633323,disadvantaged user
17,48.45897,-40.5832,disadvantaged user
18,-24.155075,1.7418884,disadvantaged user
19,19.295145,-19.68863,disadvantaged user
20,-4.2903366,15.436816,disadvantaged user
21,11.960133,0.4056283,disadvantaged user
22,36.108982,-27.308111,disadvantaged user
23,-28.229485,-44.254436,disadvantaged user
24,-44.619423,23.050447,disadvantaged user
25,-16.182098,89.12262,disadvantaged user
26,5.076342,18.791367,disadvantaged user
27,47.89181,5.9038296,disadvantaged user
28,-49.86076,15.739617,disadvantaged user
29,21.70538,-35.314922,disadvantaged user
30,-6.6063294,43.08629,disadvantaged user
31,46.245388,-8.499426,disadvantaged user
32,-37.575172,58.075283,disadvantaged user
33,-47.43897,22.832268,disadvantaged user
34,27.119062,-2.0552485,disadvantaged user
35,-21.947454,31.158358,disadvantaged user
36,-36.44715,-0.07924789,disadvantaged user
37,-14.118072,-19.692158,disadvantaged user
38,-35.786873,10.132057,disadvantaged user
39,1.5046076,-35.927517,disadvantaged user
40,108.807655,5.4979253,disadvantaged user
41,-47.60688,13.254251,disadvantaged user
42,32.989822,-19.018198,disadvantaged user
43,41.778015,-2.4093223,disadvantaged user
44,98.77732,0.5912481,disadvantaged user
45,18.63551,-44.277836,disadvantaged user
46,-31.556744,-13.252326,disadvantaged user
47,-3.4622338,5.8593206,disadvantaged user
48,33.34459,3.560182,disadvantaged user
49,-9.902093,70.61575,disadvantaged user
50,-42.462215,-26.282347,disadvantaged user
51,-86.41334,-33.832943,disadvantaged user
52,-5.243437,-27.618605,disadvantaged user
53,-15.025641,62.675335,disadvantaged user
54,25.669304,-51.100407,disadvantaged user
55,10.543925,65.06288,disadvantaged user
56,-18.994532,55.546417,disadvantaged user
57,-13.667321,39.21993,disadvantaged user
58,32.571377,-7.0683255,disadvantaged user
59,-19.574554,89.506744,disadvantaged user
60,12.5597725,-33.99513,disadvantaged user
61,57.41837,11.446507,disadvantaged user
62,-48.544907,-31.409847,disadvantaged user
63,-31.007273,38.657764,disadvantaged user
64,-0.83106035,-17.059946,disadvantaged user
65,-43.024094,28.168072,disadvantaged user
66,80.20128,3.7983425,disadvantaged user
67,-26.20304,-92.754845,disadvantaged user
68,-33.42336,11.755772,disadvantaged user
69,15.60049,-32.18846,disadvantaged user
70,-40.24917,0.8496766,disadvantaged user
71,-0.7000852,-59.684258,disadvantaged user
72,-18.897259,54.960705,disadvantaged user
73,25.11162,4.243074,disadvantaged user
74,-26.530619,61.79301,disadvantaged user
75,-21.172567,86.41601,disadvantaged user
76,24.237392,-9.378728,disadvantaged user
77,-50.8953,-7.342898,disadvantaged user
