,x,y,type
0,38.85851,-28.044317,disadvantaged user
1,15.093101,-30.185652,disadvantaged user
2,-17.531895,43.56954,disadvantaged user
3,20.677315,-29.146027,disadvantaged user
4,10.948708,-8.430966,disadvantaged user
5,39.57495,12.832884,disadvantaged user
6,-26.57646,-13.017469,disadvantaged user
7,35.06224,-12.130373,disadvantaged user
8,21.047888,34.867603,disadvantaged user
9,-14.782438,-2.1525242,disadvantaged user
10,-21.477749,48.000942,disadvantaged user
11,19.871458,2.0181606,disadvantaged user
12,-14.3867035,-52.782803,disadvantaged user
13,17.401796,-12.896312,disadvantaged user
14,12.928079,35.39393,disadvantaged user
15,-31.607567,-60.405785,disadvantaged user
16,30.371603,0.7215394,disadvantaged user
17,-18.698744,-35.983177,disadvantaged user
18,-1.8623546,-40.915047,disadvantaged user
19,-15.303559,-42.017624,disadvantaged user
20,-28.593803,7.269712,disadvantaged user
21,-24.355635,-7.273964,disadvantaged user
22,-25.189487,-58.421352,disadvantaged user
23,-40.724426,4.58511,disadvantaged user
24,10.766455,32.115726,disadvantaged user
25,-36.42604,76.20806,disadvantaged user
26,-16.27666,26.408684,disadvantaged user
27,53.61583,-16.34675,disadvantaged user
28,22.50355,33.096535,disadvantaged user
29,7.9817605,-51.064358,disadvantaged user
30,-28.300636,29.082182,disadvantaged user
31,50.119465,-6.0755596,disadvantaged user
32,-49.654903,25.818624,disadvantaged user
33,13.491822,40.9274,disadvantaged user
34,29.000864,-9.963374,disadvantaged user
35,-2.53534,54.67154,disadvantaged user
36,-1.0916499,-2.9345534,disadvantaged user
37,-35.890728,5.9300246,disadvantaged user
38,24.279203,23.471365,disadvantaged user
39,5.7448416,-20.356274,disadvantaged user
40,102.1466,12.144184,disadvantaged user
41,10.079413,29.692656,disadvantaged user
42,28.924025,-45.319813,disadvantaged user
43,47.72556,-11.207858,disadvantaged user
44,99.50032,-0.31528246,disadvantaged user
45,-32.057854,-28.659832,disadvantaged user
46,-14.854356,-7.470081,disadvantaged user
47,32.137753,11.915873,disadvantaged user
48,19.623774,-18.609802,disadvantaged user
49,-24.640585,56.85973,disadvantaged user
50,-2.488274,-48.881634,disadvantaged user
51,-93.18435,0.6007785,disadvantaged user
52,-32.05192,-0.8606865,disadvantaged user
53,-35.727264,38.022087,disadvantaged user
54,-50.586258,-2.3942642,disadvantaged user
55,-49.572796,49.136066,disadvantaged user
56,-13.763627,60.711964,disadvantaged user
57,-42.005207,25.623333,disadvantaged user
58,47.106316,-21.029972,disadvantaged user
59,-33.642273,72.702324,disadvantaged user
60,12.357492,-27.363802,disadvantaged user
61,50.486984,-6.924356,disadvantaged user
62,-34.381905,26.60912,disadvantaged user
63,-6.0910954,38.805817,disadvantaged user
64,-19.280214,-13.381646,disadvantaged user
65,12.650863,30.359922,disadvantaged user
66,81.3246,-8.708576,disadvantaged user
67,10.816831,-85.47166,disadvantaged user
68,-4.3093963,26.621017,disadvantaged user
69,0.23721571,-39.58379,disadvantaged user
70,-30.206007,19.979189,disadvantaged user
71,-35.00513,14.119742,disadvantaged user
72,-36.15903,30.430605,disadvantaged user
73,34.26181,-22.313652,disadvantaged user
74,-19.138828,58.564537,disadvantaged user
75,-32.877,73.38075,disadvantaged user
76,10.704098,-25.139017,disadvantaged user
77,-29.446177,4.334987,disadvantaged user
78,13.027978,-6.2854304,disadvantaged user
79,10.231532,35.410526,disadvantaged user
