,x,y,type
0,78.53927,-49.457245,disadvantaged user
1,100.0525,9.758209,disadvantaged user
2,85.62122,-43.896194,disadvantaged user
3,-65.12504,-15.491086,disadvantaged user
4,29.07422,-18.405384,disadvantaged user
5,89.54985,-45.32618,disadvantaged user
6,-78.10486,-5.842624,disadvantaged user
7,78.99326,-46.116364,disadvantaged user
8,89.54985,-45.32618,disadvantaged user
9,-29.011436,-48.72906,disadvantaged user
10,95.24437,-14.9014015,disadvantaged user
11,101.35834,-26.282206,disadvantaged user
12,-66.75906,-28.082537,disadvantaged user
13,74.7981,-48.414417,disadvantaged user
14,84.45449,-47.0552,disadvantaged user
15,94.76789,-3.9301414,disadvantaged user
16,85.82941,-46.100704,disadvantaged user
17,102.61135,1.1066865,disadvantaged user
18,79.60932,3.3564289,disadvantaged user
19,-43.49834,40.031742,disadvantaged user
20,54.08107,2.0509572,disadvantaged user
21,51.59396,-0.9692018,disadvantaged user
22,90.88667,-43.497257,disadvantaged user
23,4.6053367,45.396454,disadvantaged user
24,89.78715,-37.17472,disadvantaged user
25,87.88274,17.354475,disadvantaged user
26,90.280334,-46.739773,disadvantaged user
27,-45.6044,-40.281403,disadvantaged user
28,-73.66788,-5.6484175,disadvantaged user
29,92.15376,-42.653046,disadvantaged user
30,97.76009,-5.112439,disadvantaged user
31,60.045376,12.221981,disadvantaged user
32,-72.069954,-7.000664,disadvantaged user
33,-32.025337,-47.4741,disadvantaged user
34,-54.03325,-29.649382,disadvantaged user
35,82.556145,-45.034004,disadvantaged user
36,83.646416,-47.735126,disadvantaged user
37,90.66704,-42.54462,disadvantaged user
38,75.03346,-48.6004,disadvantaged user
39,-62.42875,-18.671757,disadvantaged user
40,-60.12954,-6.0680156,disadvantaged user
41,107.7552,-3.797616,disadvantaged user
42,81.66984,-46.805958,disadvantaged user
43,94.6826,-43.38275,disadvantaged user
44,93.8281,-40.65622,disadvantaged user
45,-51.031277,13.4293995,disadvantaged user
46,91.567665,-2.804876,disadvantaged user
47,94.89588,-14.227398,disadvantaged user
48,84.631966,-46.57937,disadvantaged user
49,-57.776573,3.3201947,disadvantaged user
50,82.24438,-49.003834,disadvantaged user
51,95.26493,-32.201725,disadvantaged user
52,92.73983,-34.77345,disadvantaged user
53,85.435555,7.9467425,disadvantaged user
54,97.013374,-33.73576,disadvantaged user
55,84.45449,-47.0552,disadvantaged user
56,79.93569,-51.43276,disadvantaged user
57,78.77545,13.226579,disadvantaged user
58,90.17163,-42.695526,disadvantaged user
59,-52.4419,-27.556791,disadvantaged user
60,-70.87508,16.882898,disadvantaged user
61,95.36652,-9.645787,disadvantaged user
62,90.082726,-40.180336,disadvantaged user
63,-51.856346,44.148964,disadvantaged user
64,76.66515,-50.344505,disadvantaged user
65,-70.87508,16.882898,disadvantaged user
66,88.22565,-43.868916,disadvantaged user
67,93.91827,-39.93137,disadvantaged user
68,90.123344,-43.19755,disadvantaged user
69,74.049835,-49.557037,disadvantaged user
70,86.53713,-44.5814,disadvantaged user
71,103.42283,-21.639643,disadvantaged user
72,80.44865,-45.97295,disadvantaged user
73,92.73983,-34.77345,disadvantaged user
74,78.42754,-48.671833,disadvantaged user
75,-27.578997,-33.27701,disadvantaged user
76,91.49293,-38.316616,disadvantaged user
77,-71.12401,-13.440389,disadvantaged user
78,-69.207825,10.988508,disadvantaged user
79,76.4027,-50.900497,disadvantaged user
80,79.248146,-47.985157,disadvantaged user
81,92.709045,-31.583313,disadvantaged user
82,-59.02376,18.252281,disadvantaged user
83,23.126022,5.2622266,disadvantaged user
84,90.4402,-45.037354,disadvantaged user
85,-71.061295,-7.566039,disadvantaged user
86,79.094055,-45.274345,disadvantaged user
87,-88.90598,-25.822145,disadvantaged user
88,94.89588,-14.227398,disadvantaged user
89,-70.74709,-24.880037,disadvantaged user
90,88.05618,-43.886055,disadvantaged user
91,17.69923,65.69824,disadvantaged user
92,81.77911,-47.114777,disadvantaged user
93,-17.604061,-41.44952,disadvantaged user
94,81.34185,-47.926067,disadvantaged user
95,93.75053,-39.55884,disadvantaged user
96,81.577034,-47.869003,disadvantaged user
97,-75.276054,-15.491201,disadvantaged user
98,-21.4233,-72.243454,disadvantaged user
99,110.343025,-23.937895,disadvantaged user
100,81.12696,-48.495686,disadvantaged user
101,-73.010704,11.866616,disadvantaged user
102,82.958916,-44.895176,disadvantaged user
103,-60.50759,-31.446661,disadvantaged user
104,74.049835,-49.557037,disadvantaged user
105,-41.254307,-38.11204,disadvantaged user
106,87.68262,-42.927685,disadvantaged user
107,84.61268,-43.41818,disadvantaged user
108,72.43118,-55.649014,disadvantaged user
109,86.29019,-0.71469903,disadvantaged user
110,74.50089,-52.120358,disadvantaged user
111,99.27362,-16.204372,disadvantaged user
112,-59.01049,-16.990948,disadvantaged user
113,-60.993397,9.445483,disadvantaged user
114,73.1918,-52.26403,disadvantaged user
115,81.28826,-47.190773,disadvantaged user
116,72.08112,-53.037067,disadvantaged user
117,83.979614,-43.439156,disadvantaged user
118,72.18106,-51.29765,disadvantaged user
119,-66.72414,-29.98035,disadvantaged user
120,74.76324,-51.755547,disadvantaged user
121,90.280334,-46.739773,disadvantaged user
122,86.40137,-46.28802,disadvantaged user
123,96.36131,-39.49436,disadvantaged user
124,-67.8464,-26.040892,disadvantaged user
125,80.34734,-49.51818,disadvantaged user
126,85.67137,-43.317608,disadvantaged user
127,91.567665,-2.804876,disadvantaged user
128,73.56902,-51.374252,disadvantaged user
129,-48.795425,-43.277996,disadvantaged user
130,102.61135,1.1066865,disadvantaged user
131,75.95841,-49.829628,disadvantaged user
132,75.49637,-52.131557,disadvantaged user
133,74.806725,-52.360764,disadvantaged user
134,83.17512,-48.58477,disadvantaged user
135,-1.8062097,51.728584,disadvantaged user
136,72.848274,-52.054913,disadvantaged user
137,-47.263397,-24.215303,disadvantaged user
138,82.00642,-47.397736,disadvantaged user
139,-63.227013,5.4395385,disadvantaged user
140,73.277725,-51.569294,disadvantaged user
141,-69.7705,-6.7159815,disadvantaged user
142,88.01038,-41.885338,disadvantaged user
143,78.52173,5.4161,disadvantaged user
144,-79.582085,6.209846,disadvantaged user
145,-65.60184,-41.16894,disadvantaged user
146,-70.859375,-1.0389,disadvantaged user
147,84.383705,-46.468273,disadvantaged user
148,86.488686,-44.163116,disadvantaged user
149,-6.0357904,-2.194054,disadvantaged user
150,89.597855,-37.431297,disadvantaged user
151,100.89453,-33.134773,disadvantaged user
152,-62.930744,-5.8606606,disadvantaged user
153,72.25522,-52.597446,disadvantaged user
154,-62.921436,10.925361,disadvantaged user
155,95.24321,-28.875473,disadvantaged user
156,84.383705,-46.468273,disadvantaged user
157,88.91747,-0.5732291,disadvantaged user
158,90.66704,-42.54462,disadvantaged user
159,-65.92001,21.232975,disadvantaged user
160,-73.010704,11.866616,disadvantaged user
161,86.53713,-44.5814,disadvantaged user
162,75.720406,-51.84271,disadvantaged user
163,-62.921436,10.925361,disadvantaged user
164,79.37257,-45.828007,disadvantaged user
165,73.10036,-53.577766,disadvantaged user
166,-66.72414,-29.98035,disadvantaged user
167,80.57109,-47.551804,disadvantaged user
168,82.556145,-45.034004,disadvantaged user
169,-68.69821,-24.22944,disadvantaged user
170,80.00202,-49.026005,disadvantaged user
171,-5.7954097,2.3034098,disadvantaged user
172,104.43198,-29.237982,disadvantaged user
173,-57.70931,-13.60662,disadvantaged user
174,77.52948,-50.323845,disadvantaged user
175,79.64085,-49.90654,disadvantaged user
176,77.91674,-49.54063,disadvantaged user
177,93.02727,-38.140026,disadvantaged user
178,23.126022,5.2622266,disadvantaged user
179,85.01166,10.470211,disadvantaged user
180,97.37401,-28.18168,disadvantaged user
181,96.93055,-15.22426,disadvantaged user
182,101.40119,-23.864758,disadvantaged user
183,109.2457,-2.086153,disadvantaged user
184,99.97343,-21.210585,disadvantaged user
185,-21.204985,-59.912277,disadvantaged user
186,81.74302,-47.02568,disadvantaged user
187,83.576866,-49.22889,disadvantaged user
188,85.36303,-45.302944,disadvantaged user
189,-58.181046,-48.68579,disadvantaged user
190,83.871315,-46.68934,disadvantaged user
191,-69.70332,21.820374,disadvantaged user
192,78.83065,-48.561676,disadvantaged user
193,-65.54836,-38.27881,disadvantaged user
194,94.61339,-40.00064,disadvantaged user
195,82.958916,-44.895176,disadvantaged user
196,76.44213,-49.884422,disadvantaged user
197,72.51149,-51.947117,disadvantaged user
198,95.33087,-41.816853,disadvantaged user
199,104.99829,-22.161842,disadvantaged user
200,86.447655,-41.230846,disadvantaged user
201,7.8044753,45.51549,disadvantaged user
202,79.31311,-49.521633,disadvantaged user
203,103.34764,-36.99028,disadvantaged user
204,79.55291,-52.31441,disadvantaged user
205,79.248146,-47.985157,disadvantaged user
206,91.64678,-43.701145,disadvantaged user
207,-65.53765,-20.372267,disadvantaged user
208,67.434586,-54.879154,disadvantaged user
209,90.1871,-43.467407,disadvantaged user
210,-81.26617,-11.697198,disadvantaged user
211,32.354424,56.82297,disadvantaged user
212,77.47742,-50.855396,disadvantaged user
213,-59.02376,18.252281,disadvantaged user
214,93.02727,-38.140026,disadvantaged user
215,-18.490114,-6.220832,disadvantaged user
216,-65.85371,8.403415,disadvantaged user
217,1.9807582,-28.858917,disadvantaged user
218,29.00339,3.4528556,disadvantaged user
219,100.49742,-7.6898546,disadvantaged user
220,99.631805,-3.964803,disadvantaged user
221,94.211426,-5.218365,disadvantaged user
222,-65.04747,6.4754105,disadvantaged user
223,112.55499,-23.128162,disadvantaged user
224,79.41732,-51.57705,disadvantaged user
225,72.18106,-51.29765,disadvantaged user
226,-65.67167,3.795371,disadvantaged user
227,76.44213,-49.884422,disadvantaged user
228,78.52173,5.4161,disadvantaged user
229,91.99579,-34.859165,disadvantaged user
230,80.34734,-49.51818,disadvantaged user
231,82.00642,-47.397736,disadvantaged user
232,84.56651,-43.48608,disadvantaged user
233,-59.808403,12.152994,disadvantaged user
234,88.43403,-44.398186,disadvantaged user
235,98.481514,-37.60545,disadvantaged user
236,79.86874,-47.995872,disadvantaged user
237,-21.913515,4.667213,disadvantaged user
238,-65.92001,21.232975,disadvantaged user
239,92.785385,-38.026253,disadvantaged user
240,91.44934,-36.531322,disadvantaged user
241,-65.7572,-26.528925,disadvantaged user
242,78.40158,-46.197926,disadvantaged user
243,-72.069954,-7.000664,disadvantaged user
244,71.55169,-51.6654,disadvantaged user
245,94.59077,-35.943146,disadvantaged user
246,90.040344,-44.388847,disadvantaged user
247,77.63991,21.868526,disadvantaged user
248,79.77872,-45.94668,disadvantaged user
249,-81.50446,7.862956,disadvantaged user
250,88.880005,-43.473194,disadvantaged user
251,-63.520775,-32.431164,disadvantaged user
252,95.50006,-28.707264,disadvantaged user
253,79.55291,-52.31441,disadvantaged user
254,96.36131,-39.49436,disadvantaged user
255,70.46717,-1.2430258,disadvantaged user
256,90.663445,-42.692215,disadvantaged user
257,-2.5833297,43.00638,disadvantaged user
258,113.03765,-22.501862,disadvantaged user
259,49.80983,33.544575,disadvantaged user
260,74.7981,-48.414417,disadvantaged user
261,95.86169,-27.539715,disadvantaged user
262,95.24321,-28.875473,disadvantaged user
263,84.981026,-46.28416,disadvantaged user
264,48.8409,1.6038567,disadvantaged user
265,3.0691555,27.379356,disadvantaged user
266,89.70526,-40.717186,disadvantaged user
267,85.185905,-41.71547,disadvantaged user
268,84.20272,-47.29926,disadvantaged user
269,80.888504,-48.14765,disadvantaged user
270,81.96139,-49.638607,disadvantaged user
271,107.67096,-7.317002,disadvantaged user
272,87.55543,-43.959335,disadvantaged user
273,93.8281,-40.65622,disadvantaged user
274,95.86169,-27.539715,disadvantaged user
275,88.49256,-40.214256,disadvantaged user
276,96.74878,-25.373117,disadvantaged user
277,68.01898,-1.5359821,disadvantaged user
278,-75.276054,-15.491201,disadvantaged user
279,75.720406,-51.84271,disadvantaged user
