,x,y,type
0,-76.52111,-23.252378,disadvantaged user
1,-15.825212,-0.62927914,disadvantaged user
2,-51.45262,-23.111692,disadvantaged user
3,-33.212494,-35.028614,disadvantaged user
4,110.11561,-32.29336,disadvantaged user
5,-55.414753,-21.588444,disadvantaged user
6,93.038284,-44.241665,disadvantaged user
7,97.09458,-44.287395,disadvantaged user
8,82.86822,-50.555946,disadvantaged user
9,60.955112,-24.110046,disadvantaged user
10,97.21706,-44.073692,disadvantaged user
11,45.282566,25.977552,disadvantaged user
12,17.926254,-0.3038633,disadvantaged user
13,104.4314,-38.303116,disadvantaged user
14,95.29371,-45.614372,disadvantaged user
15,-62.3661,-28.880608,disadvantaged user
16,104.14625,-38.81648,disadvantaged user
17,-61.458008,-29.926107,disadvantaged user
18,61.941982,-24.703001,disadvantaged user
19,-50.37409,23.103502,disadvantaged user
20,103.57235,-38.446495,disadvantaged user
21,58.97784,25.217327,disadvantaged user
22,108.90101,-35.943356,disadvantaged user
23,-56.534607,-26.343529,disadvantaged user
24,-32.247593,-37.93171,disadvantaged user
25,-19.819324,-23.905636,disadvantaged user
26,99.290855,-42.893074,disadvantaged user
27,73.43746,-10.931479,disadvantaged user
28,80.54301,1.7223533,disadvantaged user
29,94.6384,-43.87595,disadvantaged user
30,102.19081,-41.23877,disadvantaged user
31,-75.541504,-22.421837,disadvantaged user
32,103.60484,-39.409454,disadvantaged user
33,-36.738033,-1.6751016,disadvantaged user
34,102.279465,-39.690098,disadvantaged user
35,96.01702,-44.67914,disadvantaged user
36,108.91447,-35.93189,disadvantaged user
37,74.537125,-10.192285,disadvantaged user
38,96.44838,-43.646866,disadvantaged user
39,-57.250164,6.0233984,disadvantaged user
40,101.8755,-40.411453,disadvantaged user
41,8.11343,40.276863,disadvantaged user
42,-61.453365,-31.719913,disadvantaged user
43,110.00702,-32.954563,disadvantaged user
44,92.04161,-47.283287,disadvantaged user
45,71.8151,-50.753555,disadvantaged user
46,84.86738,-47.925148,disadvantaged user
47,-0.545914,-38.340122,disadvantaged user
48,91.73045,-44.27466,disadvantaged user
49,-33.289215,-36.76527,disadvantaged user
50,92.89815,-46.09328,disadvantaged user
51,113.54631,-27.45767,disadvantaged user
52,63.046288,26.412962,disadvantaged user
53,-46.460075,32.699974,disadvantaged user
54,107.85984,-37.03404,disadvantaged user
55,-32.698822,-19.84724,disadvantaged user
56,103.17713,-39.28489,disadvantaged user
57,85.150696,-51.626373,disadvantaged user
58,102.641815,-40.485817,disadvantaged user
59,102.279465,-39.690098,disadvantaged user
60,-81.50384,-14.314805,disadvantaged user
