,x,y,type
0,93.131676,-1.4084156,disadvantaged user
1,95.76064,16.974648,disadvantaged user
2,30.891155,-14.638833,disadvantaged user
3,-48.69109,-45.173824,disadvantaged user
4,69.501274,-49.968044,disadvantaged user
5,102.93851,-19.286835,disadvantaged user
6,92.35904,-7.1468363,disadvantaged user
7,-27.262259,-40.106125,disadvantaged user
8,79.333954,-34.06334,disadvantaged user
9,70.12698,-54.01779,disadvantaged user
10,-74.89153,-10.428838,disadvantaged user
11,53.47149,4.2401614,disadvantaged user
12,81.8413,-44.162354,disadvantaged user
13,68.78866,-51.143406,disadvantaged user
14,-69.95342,-24.925873,disadvantaged user
15,-36.968914,0.84791076,disadvantaged user
16,70.04939,-62.591805,disadvantaged user
17,-47.465614,32.78373,disadvantaged user
18,73.116425,-43.833267,disadvantaged user
19,-64.21165,0.5518951,disadvantaged user
20,-68.13526,0.68996805,disadvantaged user
21,92.128426,-6.8242936,disadvantaged user
22,-72.99179,-20.65233,disadvantaged user
23,80.70014,-38.006477,disadvantaged user
24,75.02999,-42.260742,disadvantaged user
25,76.457794,11.846305,disadvantaged user
26,-71.09855,-9.766893,disadvantaged user
27,70.98266,-45.274704,disadvantaged user
28,80.47809,-29.901789,disadvantaged user
29,80.74502,-37.37833,disadvantaged user
30,74.98841,-42.59732,disadvantaged user
31,-42.846645,-41.3034,disadvantaged user
32,68.979126,-51.852493,disadvantaged user
33,73.26652,-44.04562,disadvantaged user
34,75.941795,-40.929382,disadvantaged user
35,92.846375,18.85624,disadvantaged user
36,78.37338,-39.573193,disadvantaged user
37,69.70819,-50.780777,disadvantaged user
38,76.73827,-40.837036,disadvantaged user
39,-63.850803,-7.090719,disadvantaged user
40,73.09485,-40.924313,disadvantaged user
41,-72.99179,-20.65233,disadvantaged user
42,-70.37237,11.078209,disadvantaged user
43,67.255775,-50.04833,disadvantaged user
44,78.67781,-33.31476,disadvantaged user
45,-65.326935,-16.051142,disadvantaged user
46,-58.963665,-21.983366,disadvantaged user
47,82.23768,-29.358244,disadvantaged user
48,71.913666,-44.431915,disadvantaged user
49,94.569626,-10.472686,disadvantaged user
50,90.42612,-8.722056,disadvantaged user
51,-67.42428,-4.4846554,disadvantaged user
52,73.90921,-44.693428,disadvantaged user
53,103.3349,2.0018933,disadvantaged user
54,73.746544,-45.952618,disadvantaged user
55,79.21751,-36.17758,disadvantaged user
56,69.42109,-53.538486,disadvantaged user
57,55.42703,8.632341,disadvantaged user
58,-62.10484,-0.7688167,disadvantaged user
59,-41.489483,-9.349504,disadvantaged user
60,75.40969,-41.53833,disadvantaged user
61,-56.76788,-21.00139,disadvantaged user
62,70.676056,-46.074642,disadvantaged user
63,26.048214,2.685799,disadvantaged user
64,71.205284,-50.343086,disadvantaged user
65,-29.120022,1.6759795,disadvantaged user
66,77.037766,-40.018272,disadvantaged user
67,93.63958,-25.331379,disadvantaged user
68,70.72433,-45.047318,disadvantaged user
69,-62.10484,-0.7688167,disadvantaged user
70,-59.98502,15.421856,disadvantaged user
71,-25.200943,-21.673822,disadvantaged user
72,-75.24177,12.243725,disadvantaged user
73,68.92104,-52.966503,disadvantaged user
74,-62.55707,-22.76084,disadvantaged user
75,-54.393364,27.805693,disadvantaged user
76,74.572845,-41.96813,disadvantaged user
77,72.84298,-43.477768,disadvantaged user
78,69.05587,-50.349854,disadvantaged user
79,-60.994144,-21.727255,disadvantaged user
80,82.88205,-35.1199,disadvantaged user
81,78.71782,-36.7608,disadvantaged user
82,70.20236,-54.17108,disadvantaged user
83,85.849495,-24.731688,disadvantaged user
84,67.521706,-53.51164,disadvantaged user
85,85.6854,-36.7246,disadvantaged user
86,69.9623,-49.132412,disadvantaged user
87,93.79118,-9.521566,disadvantaged user
88,-56.76788,-21.00139,disadvantaged user
89,-5.038478,26.129301,disadvantaged user
90,75.605034,-36.05942,disadvantaged user
91,83.67684,-36.136307,disadvantaged user
92,69.785385,-48.86813,disadvantaged user
93,-68.13526,0.68996805,disadvantaged user
94,66.58869,-51.643177,disadvantaged user
95,-49.306362,-2.5391643,disadvantaged user
96,92.128426,-6.8242936,disadvantaged user
97,-65.885185,-27.192373,disadvantaged user
98,67.343445,-50.674126,disadvantaged user
99,93.89146,-8.567777,disadvantaged user
100,70.98266,-45.274704,disadvantaged user
101,73.746544,-45.952618,disadvantaged user
102,73.99801,-44.17461,disadvantaged user
103,-47.985756,-45.022667,disadvantaged user
104,73.93531,-40.52528,disadvantaged user
105,-50.245846,-13.457976,disadvantaged user
106,73.463,-42.69865,disadvantaged user
107,27.526571,53.060226,disadvantaged user
108,-55.109974,-25.398243,disadvantaged user
109,69.926704,-48.59861,disadvantaged user
110,71.31608,-43.121387,disadvantaged user
111,91.24071,-12.413828,disadvantaged user
112,80.45753,-32.302685,disadvantaged user
113,66.79606,-52.034626,disadvantaged user
114,70.28587,-47.923668,disadvantaged user
115,-5.2360578,-7.039697,disadvantaged user
116,78.94981,-35.380135,disadvantaged user
117,-54.55272,34.51519,disadvantaged user
118,67.46562,-61.40904,disadvantaged user
119,75.363976,-43.925117,disadvantaged user
120,-21.76213,-68.44761,disadvantaged user
121,69.583206,-57.90684,disadvantaged user
122,69.70819,-50.780777,disadvantaged user
123,-22.824234,-60.295856,disadvantaged user
124,-67.54327,7.695345,disadvantaged user
125,97.10105,2.6337016,disadvantaged user
126,69.594795,-49.36782,disadvantaged user
127,-48.62027,16.007927,disadvantaged user
128,77.470955,-36.71197,disadvantaged user
129,0.620015,44.996128,disadvantaged user
130,75.363976,-43.925117,disadvantaged user
131,-71.89762,-14.300918,disadvantaged user
132,68.94508,-53.712715,disadvantaged user
133,72.68594,-44.045235,disadvantaged user
134,71.32457,-45.186756,disadvantaged user
135,-7.4550953,47.859848,disadvantaged user
136,70.12698,-54.01779,disadvantaged user
137,93.131676,-1.4084156,disadvantaged user
138,68.78866,-51.143406,disadvantaged user
139,86.77322,6.974699,disadvantaged user
140,-67.669815,-5.9384823,disadvantaged user
141,102.09325,-21.794107,disadvantaged user
142,73.26652,-44.04562,disadvantaged user
143,-70.37237,11.078209,disadvantaged user
144,68.85187,-52.84066,disadvantaged user
145,71.39081,-47.852123,disadvantaged user
146,82.23768,-29.358244,disadvantaged user
147,68.979126,-51.852493,disadvantaged user
148,52.97256,6.5848875,disadvantaged user
149,80.972755,-29.939585,disadvantaged user
150,70.5601,-56.25959,disadvantaged user
151,-39.264187,-28.029512,disadvantaged user
152,71.975975,-44.825188,disadvantaged user
153,81.87177,-36.205616,disadvantaged user
154,72.41927,-41.02281,disadvantaged user
155,75.40969,-41.53833,disadvantaged user
156,81.69288,-35.371033,disadvantaged user
157,-73.40655,-41.853436,disadvantaged user
158,69.31974,-57.55606,disadvantaged user
159,73.47694,-42.983055,disadvantaged user
160,80.74502,-37.37833,disadvantaged user
161,67.343445,-50.674126,disadvantaged user
162,74.088165,-44.21689,disadvantaged user
163,69.42109,-53.538486,disadvantaged user
164,80.13678,-36.847137,disadvantaged user
165,71.81303,-44.53756,disadvantaged user
166,71.81303,-44.53756,disadvantaged user
167,74.03954,-43.764458,disadvantaged user
168,74.25903,-43.95403,disadvantaged user
169,87.539474,9.3592205,disadvantaged user
170,89.35738,-31.373302,disadvantaged user
171,-58.63422,-44.74547,disadvantaged user
172,-50.138992,7.0498405,disadvantaged user
173,2.050506,39.01361,disadvantaged user
174,99.34857,-3.3402193,disadvantaged user
175,75.016464,21.473476,disadvantaged user
176,-60.994144,-21.727255,disadvantaged user
177,92.29925,-8.21659,disadvantaged user
178,-48.62027,16.007927,disadvantaged user
179,92.696686,3.94691,disadvantaged user
180,84.97356,-28.064777,disadvantaged user
181,72.24821,-52.15549,disadvantaged user
182,75.752304,-39.67278,disadvantaged user
183,68.42606,7.4063377,disadvantaged user
184,72.24821,-52.15549,disadvantaged user
185,-69.9229,-23.041433,disadvantaged user
186,71.298805,-47.28189,disadvantaged user
187,-46.064926,21.769041,disadvantaged user
188,69.86545,-51.705887,disadvantaged user
189,96.21601,15.500426,disadvantaged user
190,75.322075,-42.10819,disadvantaged user
