,x,y,type
0,108.101234,-24.701494,disadvantaged user
1,100.56307,-34.494698,disadvantaged user
2,109.95763,-21.723368,disadvantaged user
3,105.71025,-25.461338,disadvantaged user
4,101.66512,-33.105392,disadvantaged user
5,-45.072716,14.930644,disadvantaged user
6,94.99322,-36.27733,disadvantaged user
7,87.233765,-45.755398,disadvantaged user
8,102.40305,-31.043953,disadvantaged user
9,-33.409485,-44.377956,disadvantaged user
10,105.84846,-24.884502,disadvantaged user
11,-42.42564,-22.556309,disadvantaged user
12,105.11488,-27.786978,disadvantaged user
13,113.623024,-9.059725,disadvantaged user
14,106.045845,-26.953577,disadvantaged user
15,-19.958286,21.061512,disadvantaged user
16,111.972015,-17.862766,disadvantaged user
17,-44.921257,-40.69368,disadvantaged user
18,-43.432407,6.055383,disadvantaged user
19,54.464664,17.945358,disadvantaged user
20,116.01034,-4.494226,disadvantaged user
21,62.71185,-22.602203,disadvantaged user
22,104.61294,-28.701805,disadvantaged user
23,111.558914,-16.164013,disadvantaged user
24,102.781,-29.647295,disadvantaged user
25,104.63005,-29.128891,disadvantaged user
26,89.308624,-44.591938,disadvantaged user
27,-42.0358,-18.950493,disadvantaged user
28,87.233765,-45.755398,disadvantaged user
29,68.8107,-8.367617,disadvantaged user
30,113.10168,-13.0314,disadvantaged user
31,99.847466,-33.948513,disadvantaged user
32,92.69065,-40.385975,disadvantaged user
33,76.26715,-43.071907,disadvantaged user
34,109.84438,-21.699923,disadvantaged user
35,40.389523,17.38871,disadvantaged user
36,108.624016,-20.563002,disadvantaged user
37,108.62026,-21.02514,disadvantaged user
38,106.88276,-25.40246,disadvantaged user
39,68.79459,-32.359844,disadvantaged user
40,101.63294,-31.31551,disadvantaged user
41,-61.81391,9.889091,disadvantaged user
42,4.4983163,12.265064,disadvantaged user
43,-51.83798,-22.288263,disadvantaged user
44,97.14774,-33.121902,disadvantaged user
45,111.8108,-15.212573,disadvantaged user
46,105.71025,-25.461338,disadvantaged user
47,3.7300754,62.24473,disadvantaged user
48,-52.150646,2.1640382,disadvantaged user
49,-2.865408,-36.43972,disadvantaged user
50,98.82702,-33.670174,disadvantaged user
51,110.1895,-17.897476,disadvantaged user
52,-28.417082,-41.147755,disadvantaged user
53,-38.052837,-33.179398,disadvantaged user
54,-7.550701,-1.8615009,disadvantaged user
55,-50.445053,-2.7449238,disadvantaged user
56,105.98956,-26.13756,disadvantaged user
57,-17.489134,5.331323,disadvantaged user
58,-50.445053,-2.7449238,disadvantaged user
59,87.41124,-40.72783,disadvantaged user
60,104.48123,-28.212177,disadvantaged user
61,-21.204313,-24.28439,disadvantaged user
62,101.186134,-35.46926,disadvantaged user
63,61.468643,-27.780203,disadvantaged user
64,111.157585,-16.37867,disadvantaged user
65,114.33706,-8.553135,disadvantaged user
66,105.15815,-27.169376,disadvantaged user
67,71.42469,-2.2350907,disadvantaged user
68,100.56307,-34.494698,disadvantaged user
69,-42.61933,-35.257492,disadvantaged user
70,111.64976,-18.17942,disadvantaged user
71,94.50324,-41.968266,disadvantaged user
72,-60.36193,-18.743284,disadvantaged user
73,74.89931,-3.839538,disadvantaged user
74,112.72342,-14.958474,disadvantaged user
75,71.82614,-39.47961,disadvantaged user
76,0.940812,-53.17601,disadvantaged user
77,56.898304,17.386753,disadvantaged user
