,x,y,type
0,-48.78547,-0.9724182,disadvantaged user
1,-57.16183,-6.5776525,disadvantaged user
2,-46.116074,-33.196815,disadvantaged user
3,74.16932,19.765932,disadvantaged user
4,-1.5318491,6.3044114,disadvantaged user
5,-45.60618,-37.08388,disadvantaged user
6,95.26639,5.3616314,disadvantaged user
7,13.078293,-9.129712,disadvantaged user
8,-3.4110749,-43.55062,disadvantaged user
9,-32.894024,0.5303933,disadvantaged user
10,-20.501621,-21.59524,disadvantaged user
11,14.470932,26.375519,disadvantaged user
12,-26.87558,-4.4679976,disadvantaged user
13,-20.073547,-3.0449874,disadvantaged user
14,57.309254,10.737068,disadvantaged user
15,-39.955162,30.948301,disadvantaged user
16,-26.345945,-53.21029,disadvantaged user
17,-60.14249,22.398851,disadvantaged user
18,107.15052,-13.645234,disadvantaged user
19,-6.9969835,14.178639,disadvantaged user
20,-15.69956,-52.69905,disadvantaged user
21,-23.079626,-72.114586,disadvantaged user
22,-65.67311,-10.892659,disadvantaged user
23,3.346824,50.19592,disadvantaged user
24,10.291267,39.43287,disadvantaged user
25,14.852025,-17.43011,disadvantaged user
26,107.48684,-10.402969,disadvantaged user
27,83.54294,9.8610525,disadvantaged user
28,95.44153,-36.728733,disadvantaged user
29,-18.19393,4.3437004,disadvantaged user
30,11.997264,61.041084,disadvantaged user
31,20.454042,1.3820634,disadvantaged user
32,33.87023,45.35216,disadvantaged user
33,107.356926,-14.424668,disadvantaged user
34,76.27332,12.025618,disadvantaged user
35,99.020424,-33.292965,disadvantaged user
36,-40.449894,15.974457,disadvantaged user
37,-15.553896,-8.719543,disadvantaged user
38,85.81574,-0.5152915,disadvantaged user
39,-22.2281,-76.42523,disadvantaged user
40,8.631503,24.3252,disadvantaged user
41,-2.956362,-32.963085,disadvantaged user
42,-58.17026,13.334531,disadvantaged user
43,-21.058481,-70.42524,disadvantaged user
44,-2.257731,0.4337295,disadvantaged user
45,-61.978302,4.796359,disadvantaged user
46,-15.165038,-7.3400745,disadvantaged user
47,23.995657,31.130306,disadvantaged user
48,-51.830704,32.622997,disadvantaged user
49,-3.4203944,31.414534,disadvantaged user
50,-41.341644,33.47387,disadvantaged user
51,-19.498379,-0.16345598,disadvantaged user
52,-35.804375,18.579025,disadvantaged user
53,1.7300814,49.002228,disadvantaged user
54,6.6985674,7.4584923,disadvantaged user
55,97.19039,-23.35998,disadvantaged user
56,-22.85286,44.602375,disadvantaged user
57,-17.230724,-11.756737,disadvantaged user
58,94.26266,9.046441,disadvantaged user
59,42.045227,1.2328773,disadvantaged user
60,104.0087,-10.592856,disadvantaged user
61,77.10493,8.3041935,disadvantaged user
62,6.432389,-11.013431,disadvantaged user
63,5.7963557,-30.42439,disadvantaged user
64,41.925095,12.471099,disadvantaged user
65,9.04306,-47.916546,disadvantaged user
66,-34.374775,-30.161066,disadvantaged user
67,-62.43235,4.4555206,disadvantaged user
68,95.04334,10.645294,disadvantaged user
69,1.7382193,57.354008,disadvantaged user
70,-10.274059,3.0281003,disadvantaged user
71,66.89913,9.011159,disadvantaged user
72,-11.255968,46.37654,disadvantaged user
73,12.350125,17.975237,disadvantaged user
74,8.831335,52.255417,disadvantaged user
75,30.504196,56.02556,disadvantaged user
76,-9.431594,6.553823,disadvantaged user
77,26.84202,-13.754296,disadvantaged user
78,-14.199327,-42.869366,disadvantaged user
79,-15.686945,-15.0439625,disadvantaged user
80,-40.943977,4.9962745,disadvantaged user
81,72.13842,13.875925,disadvantaged user
82,90.50495,-36.068672,disadvantaged user
83,-13.223903,23.742136,disadvantaged user
84,96.75355,-36.83233,disadvantaged user
85,-58.78681,-32.818127,disadvantaged user
86,-0.37807402,-3.9602675,disadvantaged user
87,90.41362,-42.555885,disadvantaged user
88,-30.092531,-52.334713,disadvantaged user
89,-76.45409,12.348347,disadvantaged user
90,-47.04749,51.731174,disadvantaged user
91,-76.83329,17.486088,disadvantaged user
92,-2.7406816,-20.966743,disadvantaged user
93,-17.481758,29.545666,disadvantaged user
94,-11.648723,-35.355892,disadvantaged user
95,-31.029057,-25.414854,disadvantaged user
96,45.299133,50.860664,disadvantaged user
97,96.20508,6.448665,disadvantaged user
98,-8.23636,-72.89344,disadvantaged user
99,99.058136,0.7173914,disadvantaged user
100,-20.382435,7.8924103,disadvantaged user
101,-39.396904,-53.15297,disadvantaged user
102,-30.645197,-20.600035,disadvantaged user
103,-14.658133,-7.2703466,disadvantaged user
104,-24.150095,36.703506,disadvantaged user
105,10.555821,-49.22107,disadvantaged user
106,-49.744026,5.2135925,disadvantaged user
107,-71.72918,1.0222617,disadvantaged user
108,93.052284,-41.204117,disadvantaged user
109,103.62426,-14.9608755,disadvantaged user
110,-56.872513,32.82223,disadvantaged user
111,50.21554,5.8390465,disadvantaged user
112,6.6985674,7.4584923,disadvantaged user
113,-71.89274,-3.8469784,disadvantaged user
114,-29.098585,13.584329,disadvantaged user
115,-48.453453,10.899439,disadvantaged user
116,23.348219,2.469511,disadvantaged user
117,91.760155,13.279428,disadvantaged user
118,10.634939,-8.694591,disadvantaged user
119,13.995306,-2.5894306,disadvantaged user
120,-52.175774,-34.861633,disadvantaged user
121,-18.478594,-28.155298,disadvantaged user
122,26.576387,20.014809,disadvantaged user
123,-32.412357,-66.314026,disadvantaged user
124,11.787957,17.46628,disadvantaged user
125,-5.5390534,20.679665,disadvantaged user
126,-34.637825,4.2511363,disadvantaged user
127,34.24864,-9.292694,disadvantaged user
128,8.408212,-13.958497,disadvantaged user
