,x,y,type
0,-23.327068,-3.68069,disadvantaged user
1,-18.178581,-42.794495,disadvantaged user
2,-78.60028,-11.881653,disadvantaged user
3,76.45761,22.533604,disadvantaged user
4,-50.05107,-24.220854,disadvantaged user
5,-58.121395,-30.05547,disadvantaged user
6,70.549644,-12.93562,disadvantaged user
7,-8.004455,-2.625216,disadvantaged user
8,14.642915,-9.540259,disadvantaged user
9,-45.79066,-2.0904946,disadvantaged user
10,22.535408,-0.3030063,disadvantaged user
11,-3.3115196,22.834002,disadvantaged user
12,-20.4965,-12.299395,disadvantaged user
13,4.571594,-0.8119773,disadvantaged user
14,61.07243,30.497078,disadvantaged user
15,-25.128378,-6.2037497,disadvantaged user
16,-8.84549,-47.342873,disadvantaged user
17,18.432486,5.555968,disadvantaged user
18,65.21594,-31.173382,disadvantaged user
19,-4.821465,1.7142209,disadvantaged user
20,-12.352306,-40.79172,disadvantaged user
21,-1.5102035,-53.98596,disadvantaged user
22,-61.02839,-16.962833,disadvantaged user
23,-10.353435,45.87631,disadvantaged user
24,-11.945841,49.85326,disadvantaged user
25,-25.102423,0.8209063,disadvantaged user
26,65.62894,-42.03642,disadvantaged user
27,76.35699,-5.6388597,disadvantaged user
28,90.30227,-47.496044,disadvantaged user
29,11.184038,31.297598,disadvantaged user
30,-9.555159,56.91385,disadvantaged user
31,14.281228,8.181295,disadvantaged user
32,4.821681,54.434677,disadvantaged user
33,65.49613,-39.38992,disadvantaged user
34,74.48746,13.577223,disadvantaged user
35,84.49325,-48.54431,disadvantaged user
36,0.21024255,4.3192096,disadvantaged user
37,-19.545807,-30.168076,disadvantaged user
38,74.25603,0.8456926,disadvantaged user
39,27.201925,-1.7341692,disadvantaged user
40,-16.69517,20.042402,disadvantaged user
41,8.763278,-14.4309845,disadvantaged user
42,-49.05797,15.6141615,disadvantaged user
43,2.703283,-51.723007,disadvantaged user
44,-39.24565,-36.48796,disadvantaged user
45,-57.33983,-8.519041,disadvantaged user
46,-26.147713,-24.970425,disadvantaged user
47,7.3603096,40.66463,disadvantaged user
48,-15.3980055,35.550865,disadvantaged user
49,-29.735884,34.616974,disadvantaged user
50,-38.39773,21.407955,disadvantaged user
51,-55.13315,-31.098833,disadvantaged user
52,-20.892273,-15.306342,disadvantaged user
53,-5.1734157,49.788925,disadvantaged user
54,27.248095,21.24308,disadvantaged user
55,73.913994,-51.312344,disadvantaged user
56,-22.846804,46.05217,disadvantaged user
57,-0.7420629,-21.09536,disadvantaged user
58,71.70041,-7.6116347,disadvantaged user
59,40.7009,28.527578,disadvantaged user
60,62.392185,-32.58318,disadvantaged user
61,77.04317,18.030567,disadvantaged user
62,1.8677377,18.955631,disadvantaged user
63,-29.664558,3.5690005,disadvantaged user
64,21.775637,41.322105,disadvantaged user
65,4.2819934,-8.970178,disadvantaged user
66,-24.4545,10.306573,disadvantaged user
67,-40.52816,-37.95568,disadvantaged user
68,69.9016,-10.856001,disadvantaged user
69,-16.762575,42.297104,disadvantaged user
70,15.83834,4.4846754,disadvantaged user
71,72.68233,24.401192,disadvantaged user
72,-18.1933,9.347988,disadvantaged user
73,-27.544739,24.812826,disadvantaged user
74,-0.043828025,56.20513,disadvantaged user
75,14.284509,61.143036,disadvantaged user
76,-81.868744,-10.905004,disadvantaged user
77,-31.211138,19.769896,disadvantaged user
78,-10.360646,-26.598772,disadvantaged user
79,-19.20945,14.605484,disadvantaged user
80,-34.736122,-5.0997357,disadvantaged user
81,76.02324,15.68965,disadvantaged user
82,96.44258,-45.379433,disadvantaged user
83,9.303692,23.599455,disadvantaged user
84,91.22107,-48.26766,disadvantaged user
85,-56.09511,-24.306515,disadvantaged user
86,-39.22928,-19.014338,disadvantaged user
87,98.46722,-43.20792,disadvantaged user
88,-8.8896265,-38.36819,disadvantaged user
89,-73.98282,-18.728458,disadvantaged user
90,3.9016845,18.457735,disadvantaged user
91,-69.781105,-24.568666,disadvantaged user
92,5.018362,-4.4834895,disadvantaged user
93,-0.29295513,21.013346,disadvantaged user
94,15.342179,27.28506,disadvantaged user
95,-29.48188,11.966724,disadvantaged user
96,15.909219,65.14772,disadvantaged user
97,71.258545,-11.181195,disadvantaged user
98,-32.529892,17.651226,disadvantaged user
99,68.20289,-18.21909,disadvantaged user
100,-17.859797,1.5194517,disadvantaged user
101,-14.631083,-41.32113,disadvantaged user
102,-33.297573,10.885037,disadvantaged user
103,-20.658243,-28.329048,disadvantaged user
104,-48.836292,-21.557835,disadvantaged user
105,-22.1267,24.442745,disadvantaged user
106,-9.013379,-19.501942,disadvantaged user
107,-66.62828,-1.577631,disadvantaged user
108,91.61886,-47.325924,disadvantaged user
109,63.348892,-36.36862,disadvantaged user
110,-55.844685,5.909982,disadvantaged user
111,55.816933,29.019148,disadvantaged user
112,27.248095,21.24308,disadvantaged user
113,-61.199528,-20.124672,disadvantaged user
114,-50.11896,26.349277,disadvantaged user
115,-43.4975,-23.969109,disadvantaged user
116,16.176615,10.797469,disadvantaged user
117,74.21146,-11.45608,disadvantaged user
118,-11.2713585,16.366098,disadvantaged user
119,6.855422,14.712151,disadvantaged user
120,-38.841984,-15.602957,disadvantaged user
121,-27.33955,6.2845407,disadvantaged user
122,10.233812,37.08743,disadvantaged user
123,4.0214596,-45.752525,disadvantaged user
124,-20.283121,11.527978,disadvantaged user
125,14.296413,15.039724,disadvantaged user
126,-41.43737,-24.598698,disadvantaged user
127,19.010937,39.080807,disadvantaged user
128,2.3737478,-6.473849,disadvantaged user
129,-39.50218,9.557661,disadvantaged user
130,93.27952,-46.38922,disadvantaged user
131,-17.014969,-35.492687,disadvantaged user
132,-62.97593,-6.402011,disadvantaged user
133,19.970112,16.81783,disadvantaged user
134,70.52387,22.399897,disadvantaged user
135,-73.25741,-13.903784,disadvantaged user
136,-43.31431,-39.021355,disadvantaged user
137,-54.432682,-5.5953197,disadvantaged user
138,67.01308,-7.8827624,disadvantaged user
139,13.100355,15.1108465,disadvantaged user
140,103.17713,-39.28489,disadvantaged user
141,-16.332644,-4.5903187,disadvantaged user
142,-59.196934,-27.814585,disadvantaged user
143,-10.954765,47.332367,disadvantaged user
144,77.19415,9.038609,disadvantaged user
145,-14.556068,37.105804,disadvantaged user
146,-26.968187,1.8211662,disadvantaged user
147,24.506481,9.164067,disadvantaged user
148,20.604263,3.7393398,disadvantaged user
149,65.45538,-25.855227,disadvantaged user
150,-54.933388,1.2046306,disadvantaged user
151,-12.3265295,-15.021319,disadvantaged user
152,-2.2203789,-6.787399,disadvantaged user
153,21.864962,56.59451,disadvantaged user
154,6.944315,12.964026,disadvantaged user
155,-8.805196,56.75388,disadvantaged user
156,24.86826,7.5574875,disadvantaged user
157,-13.436631,-18.302351,disadvantaged user
158,24.43157,-1.2146599,disadvantaged user
159,-4.932982,64.34843,disadvantaged user
160,74.698586,18.225056,disadvantaged user
161,10.792409,48.012466,disadvantaged user
162,-41.662018,-11.315833,disadvantaged user
163,94.07864,-45.496407,disadvantaged user
164,-4.665083,61.303455,disadvantaged user
165,74.59377,-46.63022,disadvantaged user
166,2.0449603,-1.311354,disadvantaged user
167,110.09641,-32.20176,disadvantaged user
168,-79.57175,-11.350564,disadvantaged user
169,1.3856547,-0.7968029,disadvantaged user
170,-18.445763,-8.626497,disadvantaged user
171,-34.596874,11.998327,disadvantaged user
172,0.76492065,52.92815,disadvantaged user
173,-8.8317175,0.11577571,disadvantaged user
174,89.1603,-47.186253,disadvantaged user
175,-11.809365,8.76834,disadvantaged user
176,78.62423,4.17934,disadvantaged user
177,-69.15686,2.8509398,disadvantaged user
178,-11.673851,6.411534,disadvantaged user
179,-13.859503,6.450633,disadvantaged user
180,21.58211,18.558172,disadvantaged user
181,-56.988102,-15.122898,disadvantaged user
182,-27.146557,-25.464289,disadvantaged user
183,66.96345,1.8335608,disadvantaged user
184,19.75591,57.763683,disadvantaged user
185,-48.498684,11.849615,disadvantaged user
186,-67.01648,-13.56425,disadvantaged user
187,4.821681,54.434677,disadvantaged user
188,33.399303,22.929497,disadvantaged user
189,40.97458,25.556072,disadvantaged user
190,-82.147896,-0.35605678,disadvantaged user
191,1.3402535,-49.204216,disadvantaged user
192,-76.27274,-5.4790897,disadvantaged user
193,-26.147713,-24.970425,disadvantaged user
194,86.92231,-46.067017,disadvantaged user
195,-0.71902907,67.73725,disadvantaged user
196,-14.049466,-7.605761,disadvantaged user
197,-1.2531935,-35.068832,disadvantaged user
198,43.123726,33.795895,disadvantaged user
199,-56.231052,-16.91959,disadvantaged user
200,-10.45186,-7.6076527,disadvantaged user
201,1.8376887,5.413544,disadvantaged user
202,-12.757082,33.41002,disadvantaged user
203,-0.3786375,13.137077,disadvantaged user
204,30.977598,31.59548,disadvantaged user
205,-39.581654,-7.192115,disadvantaged user
206,4.688006,-45.399,disadvantaged user
207,-27.492113,-0.47681403,disadvantaged user
208,-25.097605,15.352485,disadvantaged user
209,66.053535,-21.044905,disadvantaged user
210,75.675545,15.699498,disadvantaged user
211,3.6405704,-47.420456,disadvantaged user
212,69.639626,16.354462,disadvantaged user
213,-21.383244,-34.103954,disadvantaged user
214,25.132719,57.170288,disadvantaged user
215,-3.459295,48.065342,disadvantaged user
216,2.5948644,-6.640553,disadvantaged user
217,88.94362,-49.53853,disadvantaged user
218,22.510702,55.946022,disadvantaged user
219,0.7054926,-42.820145,disadvantaged user
220,32.781075,26.726324,disadvantaged user
221,-27.672075,-14.705921,disadvantaged user
222,-49.745674,-6.968776,disadvantaged user
223,-34.425114,-25.769571,disadvantaged user
224,-9.8516035,54.445377,disadvantaged user
225,-30.040272,15.205687,disadvantaged user
226,-34.538578,0.7518396,disadvantaged user
227,-21.192747,8.408988,disadvantaged user
228,58.97784,25.217327,disadvantaged user
229,-61.388897,1.2014191,disadvantaged user
230,2.7819095,-21.359821,disadvantaged user
231,-24.43241,-44.319263,disadvantaged user
232,85.552666,-49.023712,disadvantaged user
233,5.8888507,-8.745418,disadvantaged user
234,25.621675,26.188875,disadvantaged user
235,-59.333603,-5.509593,disadvantaged user
236,-76.99413,-16.655664,disadvantaged user
237,-45.128532,5.1407533,disadvantaged user
238,-68.35625,-1.4828525,disadvantaged user
239,-75.16111,-17.68765,disadvantaged user
240,0.13813289,-2.5178564,disadvantaged user
241,-9.651462,-28.282833,disadvantaged user
242,-66.321434,-26.104433,disadvantaged user
243,39.547157,29.507849,disadvantaged user
244,-68.0488,-8.912468,disadvantaged user
245,-42.76685,-34.2367,disadvantaged user
246,14.684403,64.542076,disadvantaged user
247,12.344012,19.477573,disadvantaged user
248,95.62542,-45.959003,disadvantaged user
249,17.950144,59.60797,disadvantaged user
250,-61.022873,11.054564,disadvantaged user
251,2.2861288,-8.036182,disadvantaged user
252,5.61023,-8.2289,disadvantaged user
253,3.9051666,-11.28735,disadvantaged user
254,-33.290245,2.2468872,disadvantaged user
255,19.053001,-14.51981,disadvantaged user
256,-47.44606,-2.8454854,disadvantaged user
257,70.243904,-3.5313675,disadvantaged user
258,69.76937,1.8633146,disadvantaged user
259,-9.804799,6.5724573,disadvantaged user
260,-17.969643,-42.872864,disadvantaged user
261,78.31616,-2.24285,disadvantaged user
262,61.584152,27.946222,disadvantaged user
263,77.07094,12.388805,disadvantaged user
264,3.1462913,1.1986387,disadvantaged user
265,-11.414233,11.021349,disadvantaged user
266,-45.18809,-26.253908,disadvantaged user
267,-11.409302,-33.127533,disadvantaged user
268,71.75932,22.245146,disadvantaged user
269,8.839582,10.510422,disadvantaged user
270,1.5811201,-46.04652,disadvantaged user
271,61.584152,27.946222,disadvantaged user
272,-62.365402,-22.578276,disadvantaged user
273,39.00234,27.776182,disadvantaged user
274,-38.37017,-38.692966,disadvantaged user
275,42.570015,36.09803,disadvantaged user
276,-9.120364,-46.555344,disadvantaged user
277,9.386485,41.151352,disadvantaged user
278,72.94553,-14.636476,disadvantaged user
279,-4.6247044,-15.654619,disadvantaged user
280,-45.875286,-4.3302207,disadvantaged user
281,107.37652,-38.03201,disadvantaged user
282,-65.361824,6.3260317,disadvantaged user
283,-48.450825,-8.354141,disadvantaged user
284,-50.265068,-31.882858,disadvantaged user
285,-4.9127293,46.268803,disadvantaged user
286,7.443632,-42.62615,disadvantaged user
287,14.663955,-14.141191,disadvantaged user
288,-2.9311519,-39.72772,disadvantaged user
289,-70.81428,-22.265965,disadvantaged user
290,48.164806,33.33451,disadvantaged user
291,-69.851906,1.2183264,disadvantaged user
292,-56.38354,12.081406,disadvantaged user
293,-49.759647,-18.86237,disadvantaged user
294,49.132153,28.02914,disadvantaged user
295,6.628461,-48.000984,disadvantaged user
296,6.066988,36.265865,disadvantaged user
297,-16.622751,-21.117496,disadvantaged user
298,-28.549786,-6.143886,disadvantaged user
299,-29.325562,13.705527,disadvantaged user
300,-17.549,-50.922615,disadvantaged user
301,-60.60184,-28.811163,disadvantaged user
302,7.4353843,55.24163,disadvantaged user
303,-39.10739,29.325163,disadvantaged user
304,72.71985,-5.3326225,disadvantaged user
305,-42.736454,-4.49721,disadvantaged user
306,-64.58978,-23.74656,disadvantaged user
307,-38.185764,24.795637,disadvantaged user
308,-13.151848,12.239652,disadvantaged user
309,-1.5346464,55.713795,disadvantaged user
310,70.286995,21.1856,disadvantaged user
311,-14.733392,4.2551208,disadvantaged user
312,-49.325222,-0.74841857,disadvantaged user
313,33.940414,24.61503,disadvantaged user
314,-51.491585,8.039692,disadvantaged user
315,-6.0279813,38.803905,disadvantaged user
316,64.265884,-42.690514,disadvantaged user
317,64.11535,-45.856277,disadvantaged user
318,69.321495,-0.58037055,disadvantaged user
319,106.16397,-38.164036,disadvantaged user
320,-57.569084,8.638143,disadvantaged user
321,-39.61628,18.07299,disadvantaged user
322,-14.569999,-13.642169,disadvantaged user
323,-55.270893,5.4972963,disadvantaged user
324,-10.39521,5.413191,disadvantaged user
325,-48.04631,-33.67804,disadvantaged user
326,-8.8317175,0.11577571,disadvantaged user
327,-32.42003,-3.2870567,disadvantaged user
328,28.142426,57.818024,disadvantaged user
329,30.29265,6.4755807,disadvantaged user
330,67.77173,-17.200224,disadvantaged user
331,69.12371,-0.05655095,disadvantaged user
332,25.407135,40.340813,disadvantaged user
333,60.403667,26.847292,disadvantaged user
334,-50.377605,7.686975,disadvantaged user
335,64.61282,22.404093,disadvantaged user
336,-21.159306,-6.536451,disadvantaged user
337,-32.63442,28.050179,disadvantaged user
338,65.32981,-41.870403,disadvantaged user
339,-54.098557,9.318013,disadvantaged user
340,-9.337366,54.743523,disadvantaged user
341,-43.101116,20.957731,disadvantaged user
342,-28.836287,-37.013485,disadvantaged user
343,70.821655,26.328373,disadvantaged user
344,-26.107132,25.110834,disadvantaged user
345,-66.62828,-1.577631,disadvantaged user
346,64.829834,-26.009491,disadvantaged user
347,1.1458095,13.388558,disadvantaged user
348,-26.68462,10.898153,disadvantaged user
349,29.24842,22.605927,disadvantaged user
350,-22.560417,0.03122729,disadvantaged user
351,5.7768393,52.61899,disadvantaged user
352,-19.254713,0.79059905,disadvantaged user
353,23.078526,61.956528,disadvantaged user
354,-12.792508,-4.191088,disadvantaged user
355,26.842487,17.355618,disadvantaged user
356,-34.176155,-46.92711,disadvantaged user
357,76.26979,9.268966,disadvantaged user
358,-52.71386,17.462137,disadvantaged user
359,13.470883,5.2906556,disadvantaged user
360,74.773926,-47.996742,disadvantaged user
361,73.37198,-7.80247,disadvantaged user
362,-13.846874,-7.7658744,disadvantaged user
363,107.323975,-35.308487,disadvantaged user
364,17.73077,37.628437,disadvantaged user
365,107.85984,-37.03404,disadvantaged user
366,-21.669033,-0.26093712,disadvantaged user
367,-36.460064,-24.151539,disadvantaged user
368,22.90139,58.96951,disadvantaged user
369,36.8431,31.742962,disadvantaged user
370,3.0051038,0.6425662,disadvantaged user
371,72.87099,-46.555046,disadvantaged user
372,-5.0347342,15.177075,disadvantaged user
373,105.71239,-37.142246,disadvantaged user
374,-12.447473,51.5984,disadvantaged user
375,-47.540863,-21.297249,disadvantaged user
376,12.279475,20.894726,disadvantaged user
377,-4.6600013,49.811214,disadvantaged user
378,-36.047855,-31.71054,disadvantaged user
379,62.510773,-30.81398,disadvantaged user
380,67.31936,23.123224,disadvantaged user
381,-3.4012096,12.467512,disadvantaged user
