,x,y,type
0,-41.77558,-3.3749647,disadvantaged user
1,-59.06013,-27.487787,disadvantaged user
2,-49.166714,45.446865,disadvantaged user
3,69.37967,22.85659,disadvantaged user
4,9.037424,-3.687213,disadvantaged user
5,-41.698517,-35.34273,disadvantaged user
6,90.67212,11.513713,disadvantaged user
7,9.53911,-10.030323,disadvantaged user
8,-11.996709,-42.758266,disadvantaged user
9,-26.718122,-15.950513,disadvantaged user
10,-24.438614,-17.23615,disadvantaged user
11,18.324118,23.375654,disadvantaged user
12,-52.56743,-6.7498727,disadvantaged user
13,-6.493059,-5.9183793,disadvantaged user
14,53.880768,10.900961,disadvantaged user
15,-55.237633,37.13506,disadvantaged user
16,-38.18304,-50.118076,disadvantaged user
17,-58.653893,7.6169114,disadvantaged user
18,100.663506,-10.505607,disadvantaged user
19,-5.991033,12.347516,disadvantaged user
20,-19.269663,-54.303734,disadvantaged user
21,-20.50764,-70.12055,disadvantaged user
22,-75.06801,-29.975765,disadvantaged user
23,1.7185227,41.277245,disadvantaged user
24,13.717102,34.93398,disadvantaged user
25,11.563723,-13.885624,disadvantaged user
26,102.54017,-4.5432296,disadvantaged user
27,82.4941,12.275341,disadvantaged user
28,85.26456,-31.20058,disadvantaged user
29,-13.278777,2.104721,disadvantaged user
30,8.186234,59.534203,disadvantaged user
31,24.768372,6.6809425,disadvantaged user
32,30.487074,42.226818,disadvantaged user
33,100.94608,-8.596981,disadvantaged user
34,74.79728,16.651613,disadvantaged user
35,87.80798,-29.473425,disadvantaged user
36,-38.848072,-7.1539984,disadvantaged user
37,-4.935285,-18.730951,disadvantaged user
38,70.22645,19.257854,disadvantaged user
39,20.188354,-24.122517,disadvantaged user
40,1.6924994,20.794476,disadvantaged user
41,-12.186268,-32.561592,disadvantaged user
42,-59.255257,8.747243,disadvantaged user
43,-18.849236,-68.2437,disadvantaged user
44,-2.3164046,-3.3742087,disadvantaged user
45,-55.088398,11.193028,disadvantaged user
46,-11.733661,-8.574726,disadvantaged user
47,18.187471,32.8374,disadvantaged user
48,-40.45577,22.084253,disadvantaged user
49,-30.492699,29.17395,disadvantaged user
50,-33.482574,38.498363,disadvantaged user
51,-19.644648,-6.296076,disadvantaged user
52,-58.289852,11.609644,disadvantaged user
53,-1.6839001,45.818905,disadvantaged user
54,2.6072538,4.4051256,disadvantaged user
55,90.247826,-20.725653,disadvantaged user
56,-18.942493,34.254955,disadvantaged user
57,-11.113672,-19.80546,disadvantaged user
58,90.38978,14.481811,disadvantaged user
59,41.162235,3.6000519,disadvantaged user
60,97.354675,-4.0691967,disadvantaged user
61,73.15306,16.189486,disadvantaged user
62,3.2037055,-14.552669,disadvantaged user
63,5.014984,-17.886698,disadvantaged user
64,33.915485,10.187237,disadvantaged user
65,4.788934,-41.28331,disadvantaged user
66,-29.754576,-15.687497,disadvantaged user
67,-63.488335,-6.013253,disadvantaged user
68,95.319336,10.332139,disadvantaged user
69,-2.9252152,54.658676,disadvantaged user
70,-8.61208,-4.380548,disadvantaged user
71,62.100513,15.4009285,disadvantaged user
72,-11.312832,40.964005,disadvantaged user
73,9.588496,13.385918,disadvantaged user
74,3.4584842,49.980293,disadvantaged user
75,23.506721,54.897976,disadvantaged user
76,-0.6471354,-3.8528638,disadvantaged user
77,27.54359,-1.1383384,disadvantaged user
78,-30.744852,-42.99635,disadvantaged user
79,-13.905642,-47.489464,disadvantaged user
80,-53.652706,25.461054,disadvantaged user
81,65.44795,17.3281,disadvantaged user
82,76.475464,-37.69025,disadvantaged user
83,-23.517563,19.479897,disadvantaged user
84,81.49455,-33.53213,disadvantaged user
85,-72.89527,-28.655617,disadvantaged user
86,-2.9087305,-10.404536,disadvantaged user
87,75.87163,-40.171986,disadvantaged user
88,-29.870249,-54.61974,disadvantaged user
89,-62.066204,24.683767,disadvantaged user
90,-29.197832,53.205883,disadvantaged user
91,-67.51902,-1.4086637,disadvantaged user
92,-7.3088446,19.012175,disadvantaged user
93,-16.219292,26.383078,disadvantaged user
94,9.462607,25.21347,disadvantaged user
95,-28.966194,-13.974484,disadvantaged user
96,32.672653,52.31953,disadvantaged user
97,90.36258,10.98921,disadvantaged user
98,-35.14044,-64.78521,disadvantaged user
99,97.61972,5.3022547,disadvantaged user
100,-15.832354,9.752005,disadvantaged user
101,-26.91046,-48.191994,disadvantaged user
102,-25.911863,-9.729135,disadvantaged user
