,x,y,type
0,19.964859,9.323223,disadvantaged user
1,15.865944,58.41069,disadvantaged user
2,-46.335594,-31.903395,disadvantaged user
3,-52.481564,-33.41783,disadvantaged user
4,-2.4260647,-24.425182,disadvantaged user
5,-46.654186,11.379423,disadvantaged user
6,16.465084,-6.346471,disadvantaged user
7,-13.865709,-29.13847,disadvantaged user
8,9.9784355,6.286763,disadvantaged user
9,62.17113,-23.984491,disadvantaged user
10,1.3038455,-40.50916,disadvantaged user
11,-66.02159,-4.3303633,disadvantaged user
12,-21.065107,5.2077327,disadvantaged user
13,15.343251,-7.1707344,disadvantaged user
14,23.951601,1.4962984,disadvantaged user
15,-16.530197,0.17814735,disadvantaged user
16,71.285835,-18.111063,disadvantaged user
17,-31.159168,-38.619556,disadvantaged user
18,-63.275433,24.450426,disadvantaged user
19,-6.7564735,3.1910748,disadvantaged user
20,-20.032387,-26.416237,disadvantaged user
21,-46.25226,-2.0162504,disadvantaged user
22,-20.320232,-39.54574,disadvantaged user
23,-26.413694,26.044697,disadvantaged user
24,3.815921,62.67954,disadvantaged user
25,-13.210705,24.459955,disadvantaged user
26,-21.204313,-24.28439,disadvantaged user
27,-8.620828,60.551083,disadvantaged user
28,-42.940445,-24.066357,disadvantaged user
29,-51.751156,0.40283588,disadvantaged user
30,-34.123196,28.040207,disadvantaged user
31,-0.83456117,58.88996,disadvantaged user
32,3.9011998,-5.651257,disadvantaged user
33,-64.29784,-20.514786,disadvantaged user
34,-3.8113143,9.512401,disadvantaged user
35,81.413124,-43.629147,disadvantaged user
36,67.787445,4.487245,disadvantaged user
37,-1.9886093,-48.1726,disadvantaged user
38,40.537582,19.397516,disadvantaged user
39,-53.24232,28.37536,disadvantaged user
40,-14.8418665,-41.285904,disadvantaged user
41,-2.5863607,-54.29029,disadvantaged user
42,0.17523621,32.007893,disadvantaged user
43,-25.737324,-20.406336,disadvantaged user
44,70.04908,0.4227656,disadvantaged user
45,-39.049942,5.104079,disadvantaged user
46,66.04043,-27.781553,disadvantaged user
47,-40.683586,-45.70123,disadvantaged user
48,-5.1551995,-32.946125,disadvantaged user
49,-40.21279,-33.292393,disadvantaged user
50,-52.700966,10.589242,disadvantaged user
51,15.078559,4.8011565,disadvantaged user
52,-56.350372,-21.699533,disadvantaged user
53,-41.702026,33.50023,disadvantaged user
54,-41.49298,-8.922007,disadvantaged user
55,24.690012,24.029238,disadvantaged user
56,-54.332485,-16.690767,disadvantaged user
57,-41.322906,8.1329365,disadvantaged user
58,-17.21121,33.940044,disadvantaged user
59,-9.493081,-14.592373,disadvantaged user
60,-39.340805,-13.238075,disadvantaged user
61,-42.63787,-2.4197888,disadvantaged user
62,31.556347,6.938735,disadvantaged user
63,-54.251007,-12.026446,disadvantaged user
64,-11.754386,16.885626,disadvantaged user
65,3.2964208,-21.290983,disadvantaged user
66,68.49274,-39.581707,disadvantaged user
67,1.3964015,-15.318919,disadvantaged user
68,-8.086176,54.650757,disadvantaged user
69,-7.835126,-10.752093,disadvantaged user
70,-35.902897,-20.143494,disadvantaged user
71,71.82614,-39.47961,disadvantaged user
72,67.54586,-37.37758,disadvantaged user
73,-52.736023,-7.879725,disadvantaged user
74,-38.873417,-27.107246,disadvantaged user
75,71.81811,-41.04683,disadvantaged user
76,25.776947,50.745197,disadvantaged user
77,92.40228,-34.938507,disadvantaged user
78,0.8924208,-41.665783,disadvantaged user
79,-37.965015,-21.556396,disadvantaged user
80,3.261469,-42.163036,disadvantaged user
81,96.47788,-39.133633,disadvantaged user
82,-54.37426,13.277715,disadvantaged user
83,20.487377,51.047756,disadvantaged user
84,-73.96886,-24.066412,disadvantaged user
85,2.614883,67.18094,disadvantaged user
86,-41.668106,13.320464,disadvantaged user
87,10.810341,52.657055,disadvantaged user
88,-20.303877,-48.851837,disadvantaged user
89,67.62495,-10.776038,disadvantaged user
90,-35.09067,-8.573823,disadvantaged user
91,69.13623,-10.517655,disadvantaged user
92,-15.037999,8.6349535,disadvantaged user
93,-45.348125,21.95105,disadvantaged user
94,-29.312037,-14.388601,disadvantaged user
95,-4.3113413,39.86503,disadvantaged user
96,-42.746857,-30.402168,disadvantaged user
97,-33.194016,21.9011,disadvantaged user
98,-3.9548948,53.90034,disadvantaged user
99,23.481718,11.019943,disadvantaged user
100,-41.867878,25.095148,disadvantaged user
101,-14.081997,-11.334206,disadvantaged user
102,107.08946,-24.798645,disadvantaged user
103,-47.40915,32.43266,disadvantaged user
104,-7.4261794,-10.944389,disadvantaged user
105,-30.95529,-20.58471,disadvantaged user
106,-11.579988,33.175518,disadvantaged user
107,33.210064,24.80724,disadvantaged user
108,-8.063663,12.126237,disadvantaged user
109,-63.429993,-23.486141,disadvantaged user
110,-49.839375,-17.701914,disadvantaged user
111,-29.386559,1.6378765,disadvantaged user
112,22.384676,14.707657,disadvantaged user
113,-56.065987,-15.713027,disadvantaged user
114,-40.539097,-2.2493699,disadvantaged user
115,74.1218,-44.381298,disadvantaged user
116,0.98739964,-54.359287,disadvantaged user
117,-61.374367,-17.995987,disadvantaged user
118,-11.59692,-22.600496,disadvantaged user
119,-3.6164427,-50.347572,disadvantaged user
120,-20.789917,13.337522,disadvantaged user
121,-7.125193,7.3943977,disadvantaged user
122,-46.132202,-8.3000555,disadvantaged user
123,2.254341,-5.925102,disadvantaged user
124,-13.337341,-60.3832,disadvantaged user
125,-31.93686,5.043769,disadvantaged user
126,-19.341715,35.01502,disadvantaged user
127,-27.537754,11.019567,disadvantaged user
128,-18.833231,-34.02842,disadvantaged user
129,-53.62872,-15.360098,disadvantaged user
130,28.006617,48.31381,disadvantaged user
131,-34.691845,30.325563,disadvantaged user
132,-5.306468,29.601505,disadvantaged user
133,15.232783,9.139869,disadvantaged user
134,14.666231,-14.026849,disadvantaged user
135,-48.315144,-31.00267,disadvantaged user
136,-46.404724,-18.638683,disadvantaged user
137,-34.016037,-31.614304,disadvantaged user
138,54.442806,15.767536,disadvantaged user
139,-64.24503,-17.934492,disadvantaged user
140,-10.865403,-17.005613,disadvantaged user
141,4.4723,-13.132295,disadvantaged user
142,12.6793995,5.793291,disadvantaged user
143,-1.8879982,-32.99219,disadvantaged user
144,1.7669935,12.480364,disadvantaged user
145,7.543222,-32.33075,disadvantaged user
146,26.381598,50.0222,disadvantaged user
147,-77.90239,-19.698574,disadvantaged user
148,-46.335594,-31.903395,disadvantaged user
149,69.06235,4.166564,disadvantaged user
150,64.805084,10.291294,disadvantaged user
151,104.93886,-31.362413,disadvantaged user
152,59.689476,16.127148,disadvantaged user
153,-39.798313,25.963257,disadvantaged user
154,64.06036,-31.009287,disadvantaged user
155,70.240814,0.649316,disadvantaged user
156,113.06403,-12.588897,disadvantaged user
157,-5.822907,53.612,disadvantaged user
158,-36.487995,-17.626503,disadvantaged user
159,-26.958437,-8.665647,disadvantaged user
160,-61.358845,-24.329716,disadvantaged user
161,56.471222,19.269062,disadvantaged user
162,4.085851,53.864796,disadvantaged user
163,112.28617,-14.5553875,disadvantaged user
164,-21.60058,-3.8791258,disadvantaged user
165,-64.132965,-23.532408,disadvantaged user
166,112.829865,-15.137479,disadvantaged user
167,-9.7832985,-3.742092,disadvantaged user
168,114.03063,-14.529333,disadvantaged user
169,-0.06635223,9.640147,disadvantaged user
170,-59.541553,-20.691452,disadvantaged user
171,-25.47292,4.3874664,disadvantaged user
172,-31.822258,-21.484592,disadvantaged user
173,-12.518585,38.364315,disadvantaged user
174,-32.246998,-32.944088,disadvantaged user
175,70.94048,-10.011393,disadvantaged user
176,22.65879,48.393425,disadvantaged user
177,-35.159767,-37.251514,disadvantaged user
178,-5.525732,59.222923,disadvantaged user
179,-72.13582,-19.27616,disadvantaged user
180,-37.691113,2.407314,disadvantaged user
181,-60.52501,5.2888894,disadvantaged user
182,-60.107517,7.3024664,disadvantaged user
183,-37.180096,-14.71426,disadvantaged user
184,-40.455875,25.647907,disadvantaged user
185,71.127716,-45.356335,disadvantaged user
186,43.81666,21.544458,disadvantaged user
187,13.6367445,8.239588,disadvantaged user
188,-7.676272,13.092951,disadvantaged user
189,-40.85554,-10.793983,disadvantaged user
190,36.31604,8.776523,disadvantaged user
191,-28.606247,-5.838191,disadvantaged user
192,-30.44151,-8.641435,disadvantaged user
193,-35.274784,6.420689,disadvantaged user
194,67.99311,-15.386023,disadvantaged user
195,47.92239,21.663754,disadvantaged user
196,-20.893984,0.43509024,disadvantaged user
197,89.245255,-42.4356,disadvantaged user
198,-18.844748,-3.0296605,disadvantaged user
199,-64.0196,-14.556394,disadvantaged user
200,37.418186,16.109514,disadvantaged user
201,-14.888053,-50.961884,disadvantaged user
202,-6.2364345,-21.52978,disadvantaged user
203,-11.984026,49.874084,disadvantaged user
204,64.19899,-18.093256,disadvantaged user
205,67.27336,-38.36753,disadvantaged user
206,-42.200123,29.332739,disadvantaged user
207,-9.26013,-28.809015,disadvantaged user
208,-20.114635,4.009534,disadvantaged user
209,-2.6291184,11.5057745,disadvantaged user
210,-64.99963,-23.402168,disadvantaged user
