,x,y,type
0,-145.81442,9.357713,disadvantaged user
1,-64.34412,-20.378048,disadvantaged user
2,-141.1774,10.517849,disadvantaged user
3,31.69868,-7.958206,disadvantaged user
4,-144.93143,8.492443,disadvantaged user
5,-147.64842,9.15594,disadvantaged user
6,-144.38986,8.914077,disadvantaged user
7,28.728825,-12.839748,disadvantaged user
8,102.36444,45.562546,disadvantaged user
9,7.993312,-34.618633,disadvantaged user
10,-122.75019,-0.48799405,disadvantaged user
11,36.30403,-45.113945,disadvantaged user
12,-148.79204,11.660054,disadvantaged user
13,38.965054,-43.012245,disadvantaged user
14,62.19754,-29.293709,disadvantaged user
15,-23.807714,-6.1871166,disadvantaged user
16,-148.5257,13.192996,disadvantaged user
17,102.1487,48.317802,disadvantaged user
18,-141.37796,5.247613,disadvantaged user
19,47.165184,10.519874,disadvantaged user
20,-59.854458,0.913701,disadvantaged user
21,-105.62955,5.624126,disadvantaged user
22,-60.16187,20.01694,disadvantaged user
23,-146.04517,4.2552295,disadvantaged user
24,-149.17734,15.2086,disadvantaged user
25,46.647377,51.22159,disadvantaged user
26,-142.0071,6.8003497,disadvantaged user
27,59.84777,31.078503,disadvantaged user
28,-148.84183,10.862766,disadvantaged user
29,-138.95367,2.2023745,disadvantaged user
30,-143.18117,8.525261,disadvantaged user
31,-141.1774,10.517849,disadvantaged user
32,-142.01042,5.1453924,disadvantaged user
33,78.585175,-35.688953,disadvantaged user
34,-124.27885,-0.8412105,disadvantaged user
35,-45.745968,-11.378,disadvantaged user
36,-143.22363,12.992845,disadvantaged user
37,-131.30653,0.8235216,disadvantaged user
38,-144.88521,8.8836,disadvantaged user
39,-124.27885,-0.8412105,disadvantaged user
40,-124.46342,4.0818076,disadvantaged user
41,-143.22363,12.992845,disadvantaged user
42,-109.28602,-6.511202,disadvantaged user
43,94.728386,16.128334,disadvantaged user
44,-144.9691,12.254925,disadvantaged user
45,80.88983,53.529247,disadvantaged user
46,-138.32108,-2.1215792,disadvantaged user
47,-32.849503,17.65374,disadvantaged user
48,-144.1848,9.279778,disadvantaged user
49,93.940575,6.527143,disadvantaged user
50,-130.81712,-1.9095587,disadvantaged user
51,-17.953585,45.15471,disadvantaged user
52,-147.15561,12.471792,disadvantaged user
53,-146.13536,10.696639,disadvantaged user
54,-140.27821,7.482147,disadvantaged user
55,12.8213005,1.7072268,disadvantaged user
56,-122.70377,1.8775691,disadvantaged user
57,-31.13269,58.80136,disadvantaged user
58,-132.99718,2.37417,disadvantaged user
59,-39.007793,-13.428878,disadvantaged user
60,-147.15356,14.510844,disadvantaged user
61,-8.254916,-27.257105,disadvantaged user
62,-145.29674,5.187774,disadvantaged user
63,21.4918,16.978909,disadvantaged user
64,-138.95367,2.2023745,disadvantaged user
65,-147.13235,12.541418,disadvantaged user
66,-36.08691,-4.872524,disadvantaged user
67,7.856906,42.91656,disadvantaged user
68,-143.23888,7.7076044,disadvantaged user
69,-5.624406,60.476677,disadvantaged user
70,41.479843,30.509508,disadvantaged user
71,-33.148006,53.94278,disadvantaged user
72,-145.38683,15.484375,disadvantaged user
73,-22.186535,-25.905476,disadvantaged user
74,-143.80432,10.218465,disadvantaged user
75,-13.676568,-4.4154053,disadvantaged user
76,-144.243,13.232842,disadvantaged user
77,-143.5588,5.8002815,disadvantaged user
78,-131.30653,0.8235216,disadvantaged user
79,-127.6995,-0.63191,disadvantaged user
80,-147.67865,12.273008,disadvantaged user
81,36.025784,2.3974223,disadvantaged user
82,-146.02267,12.132551,disadvantaged user
83,-132.4711,4.153246,disadvantaged user
84,-71.15788,14.169892,disadvantaged user
85,-148.996,16.929384,disadvantaged user
86,-125.9346,-10.271923,disadvantaged user
87,45.792038,-19.177254,disadvantaged user
88,-124.67182,-2.79185,disadvantaged user
89,-52.37067,-11.82509,disadvantaged user
90,-140.51703,5.9365635,disadvantaged user
91,-127.91702,-13.260949,disadvantaged user
92,-87.429016,13.436631,disadvantaged user
93,11.668075,29.376892,disadvantaged user
94,-143.5588,5.8002815,disadvantaged user
95,-142.01703,7.920177,disadvantaged user
96,-140.0106,3.3751116,disadvantaged user
97,10.754763,-87.376785,disadvantaged user
98,-145.05449,1.4404618,disadvantaged user
99,-122.70377,1.8775691,disadvantaged user
100,-145.8554,2.923633,disadvantaged user
101,-144.4155,7.8389225,disadvantaged user
102,-141.87553,8.667159,disadvantaged user
103,86.35487,45.20326,disadvantaged user
104,-139.60458,7.988407,disadvantaged user
105,-104.1929,-3.9274616,disadvantaged user
106,-145.35663,5.817463,disadvantaged user
107,-36.08691,-4.872524,disadvantaged user
108,-136.87231,1.3178037,disadvantaged user
109,-145.81442,9.357713,disadvantaged user
110,-42.470875,4.882048,disadvantaged user
111,2.783337,-26.914795,disadvantaged user
112,-52.37067,-11.82509,disadvantaged user
113,-142.92577,2.001286,disadvantaged user
114,-141.60829,-0.6516331,disadvantaged user
115,-138.47327,3.744367,disadvantaged user
116,-145.10214,10.686351,disadvantaged user
117,-112.58833,5.2597046,disadvantaged user
118,42.066833,-5.3448086,disadvantaged user
119,-133.58728,-4.971686,disadvantaged user
120,-141.20763,11.108725,disadvantaged user
121,-142.0071,6.8003497,disadvantaged user
122,-148.87994,9.487909,disadvantaged user
123,4.078654,-33.121033,disadvantaged user
124,-136.52122,6.313988,disadvantaged user
125,-61.432014,-18.356464,disadvantaged user
126,-142.01703,7.920177,disadvantaged user
127,-52.562614,-1.003527,disadvantaged user
128,-106.68637,5.8747344,disadvantaged user
129,-119.75977,-8.557907,disadvantaged user
130,86.35487,45.20326,disadvantaged user
131,-66.35239,-20.45713,disadvantaged user
132,-135.23979,0.97878295,disadvantaged user
133,-21.950148,-42.379158,disadvantaged user
134,-143.20311,5.646146,disadvantaged user
135,-44.919685,1.4130956,disadvantaged user
136,-149.39365,14.461628,disadvantaged user
137,-4.5686264,-78.624954,disadvantaged user
138,87.552284,59.71106,disadvantaged user
139,-90.900604,4.3620224,disadvantaged user
140,-132.42986,-5.872837,disadvantaged user
141,-132.52809,-2.4867706,disadvantaged user
142,-140.45146,7.935236,disadvantaged user
143,2.3413432,8.975996,disadvantaged user
144,-19.438831,9.097037,disadvantaged user
145,-24.863594,-56.25007,disadvantaged user
146,-147.61462,8.948331,disadvantaged user
147,51.3568,35.004105,disadvantaged user
148,89.00828,59.42419,disadvantaged user
149,-144.13326,7.0628247,disadvantaged user
150,-47.34378,-32.170834,disadvantaged user
151,-69.858826,2.3801684,disadvantaged user
152,-146.68481,7.9745054,disadvantaged user
153,-61.546494,-30.435516,disadvantaged user
154,-104.1929,-3.9274616,disadvantaged user
155,12.348363,-53.643406,disadvantaged user
156,-139.19344,5.549684,disadvantaged user
157,-143.98386,6.132303,disadvantaged user
158,-136.3504,5.9248657,disadvantaged user
159,-134.45074,-1.0417963,disadvantaged user
160,-140.26204,-1.2300591,disadvantaged user
161,1.10495,-37.058342,disadvantaged user
162,-133.8325,-1.4763051,disadvantaged user
