,x,y,type
0,46.468456,59.881687,disadvantaged user
1,47.48273,57.08047,disadvantaged user
2,48.88182,54.15903,disadvantaged user
3,72.18082,34.256298,disadvantaged user
4,51.78233,48.624294,disadvantaged user
5,67.62347,29.48229,disadvantaged user
6,-12.771379,79.79599,disadvantaged user
7,77.099205,14.706386,disadvantaged user
8,46.09912,56.934032,disadvantaged user
9,55.56287,46.22844,disadvantaged user
10,50.515358,50.616516,disadvantaged user
11,-23.226377,-30.412395,disadvantaged user
12,50.474785,52.29368,disadvantaged user
13,-43.147312,-24.086435,disadvantaged user
14,49.160603,57.315197,disadvantaged user
15,41.234386,-8.028822,disadvantaged user
16,60.784412,42.514885,disadvantaged user
17,50.474785,52.29368,disadvantaged user
18,57.624374,46.26644,disadvantaged user
19,52.5059,50.241184,disadvantaged user
20,47.803043,53.634094,disadvantaged user
21,55.957005,49.598495,disadvantaged user
22,48.652885,57.24989,disadvantaged user
23,48.211544,57.315254,disadvantaged user
24,59.286034,48.751003,disadvantaged user
25,13.613381,-27.149504,disadvantaged user
26,59.771248,40.50475,disadvantaged user
27,79.0309,-26.829659,disadvantaged user
28,55.56287,46.22844,disadvantaged user
29,-48.04648,2.8357546,disadvantaged user
30,48.483395,56.299927,disadvantaged user
31,73.568245,39.513264,disadvantaged user
32,46.241913,60.573452,disadvantaged user
33,51.78233,48.624294,disadvantaged user
34,45.26466,57.004604,disadvantaged user
35,-8.045409,13.199241,disadvantaged user
36,47.359665,58.950256,disadvantaged user
37,-83.89992,-2.4083314,disadvantaged user
38,48.35113,57.67993,disadvantaged user
39,82.763954,21.578423,disadvantaged user
40,50.36888,52.522125,disadvantaged user
41,80.05313,-26.952637,disadvantaged user
42,-13.795897,74.01334,disadvantaged user
43,72.005646,30.11554,disadvantaged user
44,-15.795981,73.457886,disadvantaged user
45,-24.71134,23.471577,disadvantaged user
46,55.654636,44.85191,disadvantaged user
47,54.69191,-16.514717,disadvantaged user
48,33.181488,-30.177862,disadvantaged user
49,8.8730345,16.650112,disadvantaged user
50,46.68334,56.63714,disadvantaged user
51,49.29129,53.76489,disadvantaged user
52,46.08844,60.880985,disadvantaged user
53,70.171394,-23.828419,disadvantaged user
54,47.597984,59.406136,disadvantaged user
55,6.6303105,-12.449665,disadvantaged user
56,51.784237,54.03062,disadvantaged user
57,-43.03681,16.325684,disadvantaged user
58,61.367344,-17.210506,disadvantaged user
59,-95.61666,23.090008,disadvantaged user
60,50.496872,47.751976,disadvantaged user
61,-14.624977,67.17738,disadvantaged user
62,49.38437,55.905056,disadvantaged user
63,67.618034,39.970734,disadvantaged user
64,51.271408,47.829952,disadvantaged user
65,74.78976,-21.270374,disadvantaged user
66,48.11215,56.398827,disadvantaged user
67,50.54602,47.76734,disadvantaged user
68,47.968277,58.6633,disadvantaged user
69,-78.824104,23.673836,disadvantaged user
70,49.410824,56.28429,disadvantaged user
71,-12.104812,80.6831,disadvantaged user
72,67.51286,-19.791727,disadvantaged user
73,56.790825,42.679775,disadvantaged user
74,10.0499115,-4.846563,disadvantaged user
75,70.9576,-16.77838,disadvantaged user
76,19.496021,-19.273237,disadvantaged user
77,-58.77769,0.032844372,disadvantaged user
78,40.450268,-6.513178,disadvantaged user
79,7.926466,-11.681754,disadvantaged user
80,55.582527,50.483444,disadvantaged user
81,21.346806,-22.14352,disadvantaged user
82,78.56712,-19.932617,disadvantaged user
83,-79.20142,-12.627495,disadvantaged user
84,-64.82068,-2.147313,disadvantaged user
85,9.485062,56.555664,disadvantaged user
86,51.59774,52.407936,disadvantaged user
87,-10.955027,81.55123,disadvantaged user
88,67.618034,39.970734,disadvantaged user
89,49.420006,58.566765,disadvantaged user
90,49.075592,53.42583,disadvantaged user
91,59.202312,42.225334,disadvantaged user
92,46.050644,62.00031,disadvantaged user
93,-6.8852835,-15.433907,disadvantaged user
94,50.29816,51.562183,disadvantaged user
95,47.466164,55.90677,disadvantaged user
96,64.86737,45.16021,disadvantaged user
97,53.647472,52.16487,disadvantaged user
98,51.04236,50.726242,disadvantaged user
99,-51.74142,16.746506,disadvantaged user
100,51.578007,51.798553,disadvantaged user
101,-63.33976,-10.877062,disadvantaged user
102,82.763954,21.578423,disadvantaged user
103,65.85116,-22.547768,disadvantaged user
104,46.854046,59.563667,disadvantaged user
105,-2.733745,-32.36791,disadvantaged user
106,67.62347,29.48229,disadvantaged user
107,48.72002,52.26698,disadvantaged user
108,47.31257,57.984833,disadvantaged user
109,96.2548,6.7442846,disadvantaged user
110,54.339962,45.931404,disadvantaged user
111,6.0613165,-30.09423,disadvantaged user
112,47.466164,55.90677,disadvantaged user
113,57.787952,42.449215,disadvantaged user
114,48.187412,57.139236,disadvantaged user
115,-16.441753,-26.334219,disadvantaged user
116,49.941574,52.15922,disadvantaged user
117,61.516182,40.108803,disadvantaged user
118,46.410057,58.565567,disadvantaged user
119,48.652885,57.24989,disadvantaged user
120,50.375824,52.662014,disadvantaged user
121,17.667856,3.675992,disadvantaged user
122,50.54602,47.76734,disadvantaged user
123,78.62633,-29.441902,disadvantaged user
124,68.849815,41.07157,disadvantaged user
125,36.737335,-23.48818,disadvantaged user
126,51.254917,51.494408,disadvantaged user
127,-36.487316,-25.400263,disadvantaged user
128,50.407448,53.432777,disadvantaged user
129,12.147733,-29.574633,disadvantaged user
130,24.445816,-20.604595,disadvantaged user
131,47.8978,51.719715,disadvantaged user
132,50.467304,54.464516,disadvantaged user
