,x,y,type
0,-93.80431,42.632618,disadvantaged user
1,109.447975,34.86212,disadvantaged user
2,-104.69221,32.016335,disadvantaged user
3,-80.23306,-20.726768,disadvantaged user
4,109.819046,34.306927,disadvantaged user
5,63.650444,-13.975259,disadvantaged user
6,-112.95626,27.497519,disadvantaged user
7,88.6381,50.60747,disadvantaged user
8,-91.34727,-20.14079,disadvantaged user
9,3.193235,-5.8609476,disadvantaged user
10,-98.87085,38.921696,disadvantaged user
11,16.489735,-33.4931,disadvantaged user
12,-100.14568,38.233696,disadvantaged user
13,42.06235,43.996433,disadvantaged user
14,-113.94766,18.858568,disadvantaged user
15,-100.597984,38.546688,disadvantaged user
16,-96.726494,40.561443,disadvantaged user
17,-112.95626,27.497519,disadvantaged user
18,-110.2389,33.45353,disadvantaged user
19,-110.2389,33.45353,disadvantaged user
20,-95.023254,39.665337,disadvantaged user
21,-82.45647,-25.172697,disadvantaged user
22,-99.86477,0.56129086,disadvantaged user
23,-102.5454,38.807335,disadvantaged user
24,-21.097578,-13.448107,disadvantaged user
25,75.51057,-9.434845,disadvantaged user
26,-103.683,37.525803,disadvantaged user
27,34.023476,51.923805,disadvantaged user
28,-119.402306,26.10518,disadvantaged user
29,54.96956,3.9594502,disadvantaged user
30,-111.87266,34.00406,disadvantaged user
31,59.41637,-0.5956966,disadvantaged user
32,-97.46736,40.39189,disadvantaged user
33,25.566051,-22.868835,disadvantaged user
34,-101.5013,34.87643,disadvantaged user
35,-42.284424,-32.75021,disadvantaged user
36,-100.597984,38.546688,disadvantaged user
37,-24.444809,-67.16945,disadvantaged user
38,-95.478485,41.507717,disadvantaged user
39,-99.59108,40.627327,disadvantaged user
40,-92.24988,42.664356,disadvantaged user
41,33.40556,60.012985,disadvantaged user
42,-96.72632,43.744434,disadvantaged user
43,-10.4491205,50.897137,disadvantaged user
44,-95.6977,44.05157,disadvantaged user
45,-29.760717,-25.74687,disadvantaged user
46,14.698827,-33.989132,disadvantaged user
47,-42.872906,-29.332464,disadvantaged user
48,-99.54229,38.9728,disadvantaged user
49,-55.733425,-39.575356,disadvantaged user
50,-93.80831,41.28344,disadvantaged user
51,-37.09165,28.185234,disadvantaged user
52,-106.70592,31.226711,disadvantaged user
53,-106.85006,35.998928,disadvantaged user
54,-94.32725,42.146343,disadvantaged user
55,35.157883,71.53282,disadvantaged user
56,-123.23569,-5.9178243,disadvantaged user
57,-108.14293,33.777424,disadvantaged user
58,-92.2688,44.06745,disadvantaged user
59,-118.138245,6.0640407,disadvantaged user
60,21.274147,9.431962,disadvantaged user
61,29.82336,67.84227,disadvantaged user
62,-118.138245,6.0640407,disadvantaged user
63,-40.451298,-46.726604,disadvantaged user
64,-97.84176,37.077816,disadvantaged user
65,-21.687214,31.153347,disadvantaged user
66,-95.710686,43.307957,disadvantaged user
67,7.501816,62.49593,disadvantaged user
68,-109.65934,26.415844,disadvantaged user
69,-21.054012,-70.98822,disadvantaged user
70,-93.52826,42.62454,disadvantaged user
71,-112.79809,14.872897,disadvantaged user
72,-42.872906,-29.332464,disadvantaged user
73,-109.65934,26.415844,disadvantaged user
74,-112.15932,24.016436,disadvantaged user
75,-112.36069,11.703608,disadvantaged user
76,-87.8558,46.046387,disadvantaged user
77,-106.124825,32.155216,disadvantaged user
78,-110.50429,5.710793,disadvantaged user
79,-13.450114,41.61609,disadvantaged user
80,-97.34081,38.880142,disadvantaged user
81,17.81235,-5.9659867,disadvantaged user
82,-98.61972,39.20831,disadvantaged user
83,-93.80431,42.632618,disadvantaged user
84,2.1189234,-2.011236,disadvantaged user
85,-104.25939,0.08833972,disadvantaged user
86,-90.68954,43.417793,disadvantaged user
87,-98.47389,40.289204,disadvantaged user
88,-97.73274,40.865314,disadvantaged user
89,-33.42693,-34.11184,disadvantaged user
90,-94.12294,43.10455,disadvantaged user
91,-28.911829,-17.049923,disadvantaged user
92,-93.094444,41.619778,disadvantaged user
93,26.387684,10.431318,disadvantaged user
94,96.48356,27.165264,disadvantaged user
95,13.658662,33.24365,disadvantaged user
96,-98.2019,39.19697,disadvantaged user
97,-124.95376,20.947706,disadvantaged user
98,-101.34767,36.32073,disadvantaged user
99,-95.023254,39.665337,disadvantaged user
100,-91.66038,42.973537,disadvantaged user
101,22.603556,4.949948,disadvantaged user
102,-104.56902,37.03897,disadvantaged user
103,-102.02834,37.02691,disadvantaged user
104,-97.566795,42.3815,disadvantaged user
105,-22.258163,-5.7619495,disadvantaged user
106,-102.02834,37.02691,disadvantaged user
107,-99.565414,37.83279,disadvantaged user
108,-94.29864,42.526985,disadvantaged user
109,-54.130318,-1.1258612,disadvantaged user
110,-82.45647,-25.172697,disadvantaged user
111,42.47495,49.62708,disadvantaged user
112,-116.533516,-12.744708,disadvantaged user
113,-95.985794,41.67148,disadvantaged user
114,-91.975044,43.181988,disadvantaged user
115,-106.949066,26.0416,disadvantaged user
116,-114.23029,23.480766,disadvantaged user
117,-101.5946,35.992657,disadvantaged user
118,-110.26812,30.223524,disadvantaged user
119,40.355858,-23.724121,disadvantaged user
120,-119.653824,-4.232994,disadvantaged user
121,20.804396,-0.821958,disadvantaged user
122,7.8671727,-33.601498,disadvantaged user
123,12.372949,94.774445,disadvantaged user
124,-99.620705,38.417976,disadvantaged user
125,7.537648,59.3469,disadvantaged user
126,-19.049545,-38.074295,disadvantaged user
127,-100.10093,41.728268,disadvantaged user
128,-97.604866,39.47403,disadvantaged user
129,22.169924,-11.161114,disadvantaged user
130,-95.720184,39.02627,disadvantaged user
131,-0.66475004,-52.217976,disadvantaged user
132,-65.53791,-27.822798,disadvantaged user
133,-41.843136,-20.576504,disadvantaged user
134,-92.7271,40.60407,disadvantaged user
135,-101.11791,38.536396,disadvantaged user
136,-106.49525,29.448166,disadvantaged user
137,20.495531,-25.117043,disadvantaged user
138,-52.60313,-29.084127,disadvantaged user
139,23.480093,-24.955051,disadvantaged user
140,54.96956,3.9594502,disadvantaged user
141,-110.56687,26.775843,disadvantaged user
142,-39.353992,-22.759144,disadvantaged user
143,-119.653824,-4.232994,disadvantaged user
144,-99.063736,40.814156,disadvantaged user
145,-96.30344,37.651356,disadvantaged user
146,-92.98875,41.803482,disadvantaged user
147,-103.16631,36.78571,disadvantaged user
148,18.767582,5.4643674,disadvantaged user
149,-103.32938,38.174133,disadvantaged user
150,-100.10093,41.728268,disadvantaged user
151,-107.958244,39.25449,disadvantaged user
152,-102.91375,34.52409,disadvantaged user
153,96.48356,27.165264,disadvantaged user
154,-92.230034,41.708263,disadvantaged user
155,-23.691544,51.68317,disadvantaged user
156,-94.7917,36.430832,disadvantaged user
157,-97.46736,40.39189,disadvantaged user
158,-112.79809,14.872897,disadvantaged user
159,71.63326,18.664267,disadvantaged user
160,-97.89812,40.912148,disadvantaged user
161,-98.293365,38.844856,disadvantaged user
162,-95.186005,41.91624,disadvantaged user
163,-2.2387795,-88.536766,disadvantaged user
164,-110.4178,27.597666,disadvantaged user
165,-107.99874,37.882637,disadvantaged user
166,-98.0284,43.69511,disadvantaged user
167,-33.336494,59.6395,disadvantaged user
168,-93.30422,42.81845,disadvantaged user
169,15.710813,72.3538,disadvantaged user
170,-106.84313,35.151398,disadvantaged user
171,-30.941046,-12.68961,disadvantaged user
172,-112.22689,17.643839,disadvantaged user
173,-99.29785,2.7261832,disadvantaged user
174,-103.16631,36.78571,disadvantaged user
175,-94.7917,36.430832,disadvantaged user
176,-94.68566,40.589935,disadvantaged user
177,-125.87135,20.071795,disadvantaged user
178,-106.949066,26.0416,disadvantaged user
179,-93.30422,42.81845,disadvantaged user
180,-108.8907,32.5538,disadvantaged user
181,-90.47646,1.2512647,disadvantaged user
182,-103.322754,32.9642,disadvantaged user
183,93.398674,10.084031,disadvantaged user
184,-95.381874,40.8658,disadvantaged user
185,5.567159,-41.63771,disadvantaged user
186,46.13459,65.11496,disadvantaged user
187,-101.37673,33.61213,disadvantaged user
188,-112.1377,30.586689,disadvantaged user
189,-96.42403,41.561176,disadvantaged user
190,-97.006096,38.223648,disadvantaged user
191,-42.272953,13.546989,disadvantaged user
192,-120.46041,25.240583,disadvantaged user
193,-116.83811,27.255785,disadvantaged user
194,-115.75754,22.414047,disadvantaged user
195,-45.559307,-28.857899,disadvantaged user
196,-96.30344,37.651356,disadvantaged user
197,-106.70592,31.226711,disadvantaged user
198,-113.10231,30.383211,disadvantaged user
199,27.512112,34.663345,disadvantaged user
