,x,y,type
0,48.931458,54.88323,disadvantaged user
1,47.5088,57.757656,disadvantaged user
2,46.436752,60.525097,disadvantaged user
3,71.99265,34.108673,disadvantaged user
4,51.671093,49.179504,disadvantaged user
5,77.30805,14.350792,disadvantaged user
6,50.437504,51.296803,disadvantaged user
7,67.42701,29.32292,disadvantaged user
8,-13.107214,77.822685,disadvantaged user
9,55.332054,46.564598,disadvantaged user
10,46.091194,57.57808,disadvantaged user
11,-23.164043,-30.522688,disadvantaged user
12,50.49372,52.955013,disadvantaged user
13,-43.07499,-24.206661,disadvantaged user
14,60.482605,42.639137,disadvantaged user
15,41.910515,-8.138533,disadvantaged user
16,49.213524,58.029613,disadvantaged user
17,50.49372,52.955013,disadvantaged user
18,57.373158,46.436794,disadvantaged user
19,52.42291,50.792786,disadvantaged user
20,47.753086,54.308235,disadvantaged user
21,55.889637,49.939034,disadvantaged user
22,58.949627,49.05392,disadvantaged user
23,48.251896,58.03026,disadvantaged user
24,48.699062,57.96051,disadvantaged user
25,14.157862,-28.000029,disadvantaged user
26,59.392216,40.684624,disadvantaged user
27,-47.889416,2.2701058,disadvantaged user
28,55.332054,46.564598,disadvantaged user
29,79.586845,-26.806019,disadvantaged user
30,48.53259,56.99407,disadvantaged user
31,73.68533,39.37932,disadvantaged user
32,46.2111,61.233467,disadvantaged user
33,51.671093,49.179504,disadvantaged user
34,45.26846,57.642216,disadvantaged user
35,-6.949056,13.210675,disadvantaged user
36,47.345963,59.651062,disadvantaged user
37,82.915405,21.750126,disadvantaged user
38,48.40413,58.39206,disadvantaged user
39,-84.07923,-3.5326104,disadvantaged user
40,50.381172,53.20016,disadvantaged user
41,-25.257994,23.683752,disadvantaged user
42,-14.261826,71.925995,disadvantaged user
43,71.90551,30.106089,disadvantaged user
44,-16.269299,71.43626,disadvantaged user
45,80.60274,-26.93877,disadvantaged user
46,55.36525,45.17198,disadvantaged user
47,54.99934,-16.770231,disadvantaged user
48,46.6933,57.316566,disadvantaged user
49,49.33525,54.48088,disadvantaged user
50,51.85749,54.664917,disadvantaged user
51,6.4436936,-12.971452,disadvantaged user
52,46.02029,61.490368,disadvantaged user
53,9.283672,16.726229,disadvantaged user
54,50.337326,48.386646,disadvantaged user
55,-43.057377,16.225136,disadvantaged user
56,47.590363,60.11601,disadvantaged user
57,70.556656,-23.96973,disadvantaged user
58,49.443123,56.63174,disadvantaged user
59,-97.05593,22.38878,disadvantaged user
60,33.564224,-31.284554,disadvantaged user
61,-15.46121,65.08638,disadvantaged user
62,62.51477,-18.630323,disadvantaged user
63,74.920815,-21.007666,disadvantaged user
64,51.106224,48.433395,disadvantaged user
65,67.295815,39.885277,disadvantaged user
66,48.155224,57.095234,disadvantaged user
67,50.390827,48.37887,disadvantaged user
68,47.973328,59.405254,disadvantaged user
69,-12.438934,78.70699,disadvantaged user
70,49.476116,56.997013,disadvantaged user
71,-79.93306,23.064583,disadvantaged user
72,18.734957,-18.664394,disadvantaged user
73,71.502594,-16.984789,disadvantaged user
74,67.515686,-19.65942,disadvantaged user
75,-59.17451,0.023126919,disadvantaged user
76,40.19371,-7.511889,disadvantaged user
77,56.451134,42.92291,disadvantaged user
78,78.95914,-19.957155,disadvantaged user
79,21.123274,-21.933004,disadvantaged user
80,-65.28608,-2.6297941,disadvantaged user
81,-79.68478,-13.274945,disadvantaged user
82,55.489204,50.876614,disadvantaged user
83,9.426326,56.088097,disadvantaged user
84,51.60933,53.029366,disadvantaged user
85,-11.268359,79.567604,disadvantaged user
86,63.824177,45.34372,disadvantaged user
87,7.6675687,-12.238026,disadvantaged user
88,10.221935,-4.725644,disadvantaged user
89,58.88919,42.390987,disadvantaged user
90,67.295815,39.885277,disadvantaged user
91,-6.982672,-15.632469,disadvantaged user
92,49.203045,54.04328,disadvantaged user
93,49.46281,59.29322,disadvantaged user
94,46.200623,62.703804,disadvantaged user
95,47.508347,56.626587,disadvantaged user
96,50.97854,51.36482,disadvantaged user
97,66.13325,-22.683,disadvantaged user
