,x,y,type
0,60.77593,41.269455,disadvantaged user
1,69.14759,4.164265,disadvantaged user
2,68.17844,4.3435826,disadvantaged user
3,71.69757,9.230914,disadvantaged user
4,78.23517,25.537539,disadvantaged user
5,53.9112,41.929474,disadvantaged user
6,78.72273,8.429719,disadvantaged user
7,-40.424572,-17.977108,disadvantaged user
8,-33.122734,68.59758,disadvantaged user
9,68.8278,28.503736,disadvantaged user
10,44.90935,48.314747,disadvantaged user
11,-32.671127,-28.26789,disadvantaged user
12,42.122227,50.930176,disadvantaged user
13,49.976784,45.052994,disadvantaged user
14,53.9112,41.929474,disadvantaged user
15,11.516978,-30.473501,disadvantaged user
16,6.9206204,-26.259659,disadvantaged user
17,-41.782333,22.125616,disadvantaged user
18,46.958355,47.10442,disadvantaged user
19,-46.8763,0.7144176,disadvantaged user
20,47.626926,46.236916,disadvantaged user
21,-65.75558,19.144793,disadvantaged user
22,45.862606,47.243958,disadvantaged user
23,-11.831,-22.582092,disadvantaged user
24,64.879364,36.021603,disadvantaged user
25,-46.099873,-16.811464,disadvantaged user
26,48.09459,44.95896,disadvantaged user
27,-11.906618,32.408474,disadvantaged user
28,57.06266,43.505955,disadvantaged user
29,47.714916,45.217216,disadvantaged user
30,44.947598,48.24288,disadvantaged user
31,54.64748,44.224613,disadvantaged user
32,50.579018,43.717884,disadvantaged user
33,67.9267,27.323393,disadvantaged user
34,46.9067,48.086506,disadvantaged user
35,-21.528519,58.515392,disadvantaged user
36,43.155403,50.36532,disadvantaged user
37,51.3091,42.685024,disadvantaged user
38,56.174286,42.885223,disadvantaged user
39,-33.10138,68.43699,disadvantaged user
40,49.976784,45.052994,disadvantaged user
41,65.320305,0.8034294,disadvantaged user
42,54.93781,-25.447859,disadvantaged user
43,69.15813,4.453959,disadvantaged user
44,53.987267,41.2019,disadvantaged user
45,53.987267,41.2019,disadvantaged user
46,74.84422,28.165873,disadvantaged user
47,58.372005,41.268936,disadvantaged user
48,54.467365,44.219273,disadvantaged user
49,-2.4746857,-7.9795356,disadvantaged user
50,44.143524,-28.985764,disadvantaged user
51,52.921413,40.908264,disadvantaged user
52,46.01088,48.2438,disadvantaged user
53,56.124077,40.43782,disadvantaged user
54,68.71317,26.969303,disadvantaged user
55,-34.179806,35.060177,disadvantaged user
56,22.908585,-29.383797,disadvantaged user
57,-71.827126,-4.18319,disadvantaged user
58,40.402584,52.489265,disadvantaged user
59,-28.67366,32.39109,disadvantaged user
60,49.758003,-29.390993,disadvantaged user
61,5.965091,70.24037,disadvantaged user
62,53.316776,-16.167362,disadvantaged user
63,75.20597,28.059376,disadvantaged user
64,51.12776,43.281017,disadvantaged user
65,-9.172728,-32.82414,disadvantaged user
66,46.098637,47.289635,disadvantaged user
67,-18.430307,-4.8163776,disadvantaged user
68,50.6997,43.711205,disadvantaged user
69,-57.577442,-7.8284793,disadvantaged user
70,46.726257,46.33245,disadvantaged user
71,-33.32152,68.77554,disadvantaged user
72,48.39037,45.058853,disadvantaged user
