,x,y,type
0,36.447113,27.656603,disadvantaged user
1,24.85489,-18.62445,disadvantaged user
2,-9.704755,27.041912,disadvantaged user
3,63.25806,21.611172,disadvantaged user
4,75.35123,-4.0184946,disadvantaged user
5,-93.332085,3.5326886,disadvantaged user
6,-9.661322,11.591922,disadvantaged user
7,61.14223,-10.639722,disadvantaged user
8,14.096587,40.037457,disadvantaged user
9,14.097327,1.790462,disadvantaged user
10,-14.79931,-15.9389715,disadvantaged user
11,25.111565,7.610265,disadvantaged user
12,88.12068,-12.637918,disadvantaged user
13,71.62698,10.856785,disadvantaged user
14,3.7736113,-14.993649,disadvantaged user
15,-41.05841,-0.65519184,disadvantaged user
16,-1.5007433,-81.59018,disadvantaged user
17,28.720213,32.00602,disadvantaged user
18,31.00407,-12.233514,disadvantaged user
19,84.83357,18.656944,disadvantaged user
20,-32.69205,-35.033325,disadvantaged user
21,-0.25102136,-87.20613,disadvantaged user
22,13.222782,-32.485497,disadvantaged user
23,-106.148575,3.7007382,disadvantaged user
24,-5.361973,23.745272,disadvantaged user
25,7.1051383,69.69234,disadvantaged user
26,16.038082,4.3301964,disadvantaged user
27,97.00051,14.204192,disadvantaged user
28,10.299937,43.92611,disadvantaged user
29,15.166087,-3.3668408,disadvantaged user
30,-2.892989,-41.027668,disadvantaged user
31,-124.295074,-1.6324967,disadvantaged user
32,70.79529,-18.93736,disadvantaged user
33,-119.08375,-15.197941,disadvantaged user
34,-109.14387,-7.6523027,disadvantaged user
35,75.5542,-7.7541637,disadvantaged user
36,-103.94719,-4.864111,disadvantaged user
37,-105.73638,-5.0255384,disadvantaged user
38,-84.59191,9.140626,disadvantaged user
39,7.804516,-37.164627,disadvantaged user
40,55.048603,-22.255455,disadvantaged user
41,1.1422586,-86.32676,disadvantaged user
42,-10.367472,-49.24136,disadvantaged user
43,-52.825382,-2.4248836,disadvantaged user
44,-22.395569,-31.102278,disadvantaged user
45,-19.02357,-44.046207,disadvantaged user
46,3.3866982,-89.5191,disadvantaged user
47,-79.631874,11.037163,disadvantaged user
48,-82.98959,7.8491445,disadvantaged user
49,-88.75989,6.737579,disadvantaged user
50,-37.213867,4.4252753,disadvantaged user
51,-99.11637,-6.2866383,disadvantaged user
52,-42.169685,-14.310383,disadvantaged user
53,-90.8928,-4.19871,disadvantaged user
54,0.96260726,-77.148186,disadvantaged user
55,13.591779,-44.886135,disadvantaged user
56,-18.188854,-31.157406,disadvantaged user
57,58.499607,-21.917576,disadvantaged user
58,-52.941998,25.831306,disadvantaged user
59,-93.92009,7.1393037,disadvantaged user
60,-75.76178,-1.4456764,disadvantaged user
61,-59.913548,-18.795757,disadvantaged user
62,11.844339,22.259819,disadvantaged user
63,-63.744156,-8.287413,disadvantaged user
64,-113.80792,-0.2827603,disadvantaged user
65,19.92351,2.1213355,disadvantaged user
66,73.30161,-1.1820766,disadvantaged user
67,-43.486073,-21.291565,disadvantaged user
68,22.862213,-52.71375,disadvantaged user
69,74.956535,-1.9561223,disadvantaged user
70,-31.072107,26.223604,disadvantaged user
71,82.01158,25.29047,disadvantaged user
72,96.01866,36.401466,disadvantaged user
73,-52.531364,34.049805,disadvantaged user
74,20.241304,36.65125,disadvantaged user
75,-15.872497,-55.800117,disadvantaged user
76,-10.989853,53.70463,disadvantaged user
77,-46.39804,18.086922,disadvantaged user
78,31.52361,33.761303,disadvantaged user
79,45.68862,31.427813,disadvantaged user
80,53.164593,15.120192,disadvantaged user
81,73.172775,77.601875,disadvantaged user
82,-6.832172,31.416298,disadvantaged user
83,37.730637,58.12475,disadvantaged user
84,-0.9630047,23.087723,disadvantaged user
85,0.5734322,-27.1986,disadvantaged user
86,-48.528477,-17.643255,disadvantaged user
87,-7.4482126,-67.59592,disadvantaged user
88,95.33338,13.732135,disadvantaged user
89,17.305912,5.605165,disadvantaged user
90,-111.10313,-7.4276,disadvantaged user
91,18.97744,-3.8810098,disadvantaged user
92,-16.552853,39.523247,disadvantaged user
93,11.211192,-7.08941,disadvantaged user
94,97.01331,-8.998914,disadvantaged user
95,-37.512203,-33.459316,disadvantaged user
96,-11.141973,-6.650108,disadvantaged user
97,48.871796,-0.84517443,disadvantaged user
98,107.52606,-14.553367,disadvantaged user
99,41.708885,-1.8057129,disadvantaged user
100,-0.84446675,-7.972944,disadvantaged user
101,86.90942,34.14368,disadvantaged user
102,6.7651296,88.23616,disadvantaged user
103,41.714016,-1.786498,disadvantaged user
104,-67.076004,3.9274838,disadvantaged user
105,22.457085,43.941284,disadvantaged user
106,-29.16707,-18.335522,disadvantaged user
107,-17.090904,18.16266,disadvantaged user
108,-70.96667,-7.0400257,disadvantaged user
109,-2.2642465,-85.30064,disadvantaged user
110,-5.4304514,1.449511,disadvantaged user
111,-52.941998,25.831306,disadvantaged user
112,85.73036,50.644047,disadvantaged user
113,94.19487,10.311308,disadvantaged user
114,0.15190151,45.364506,disadvantaged user
115,56.170795,-42.486294,disadvantaged user
116,-96.82765,7.1335487,disadvantaged user
117,103.70973,3.7710845,disadvantaged user
118,3.744466,47.612984,disadvantaged user
119,80.8438,53.121567,disadvantaged user
120,59.692406,-8.44613,disadvantaged user
121,76.986946,26.907476,disadvantaged user
122,32.874485,-11.763859,disadvantaged user
123,-6.4751782,-63.982845,disadvantaged user
124,60.106262,29.864464,disadvantaged user
125,54.859226,-51.525845,disadvantaged user
126,-42.736748,-15.76478,disadvantaged user
127,26.218302,-1.2166021,disadvantaged user
128,-110.15837,-13.792171,disadvantaged user
129,3.8259797,-15.009433,disadvantaged user
130,54.554016,-24.976116,disadvantaged user
131,-16.577635,-7.8731074,disadvantaged user
132,-84.56375,1.4526591,disadvantaged user
133,42.661587,31.547894,disadvantaged user
134,-56.032562,-30.41702,disadvantaged user
135,24.441486,-19.851946,disadvantaged user
136,-26.275675,50.787113,disadvantaged user
137,45.785515,12.03182,disadvantaged user
138,-23.08943,-37.03216,disadvantaged user
139,0.21052921,48.862263,disadvantaged user
140,-86.14302,1.8137047,disadvantaged user
141,43.10881,-37.778984,disadvantaged user
142,86.2647,19.855185,disadvantaged user
143,-4.522271,21.72811,disadvantaged user
144,-51.106384,-16.490261,disadvantaged user
145,55.181477,52.82479,disadvantaged user
146,33.654186,-43.248093,disadvantaged user
147,-43.604076,-36.788723,disadvantaged user
148,-67.59164,-2.9671686,disadvantaged user
149,80.08683,-5.9203615,disadvantaged user
150,5.702846,92.252686,disadvantaged user
151,48.835197,32.24559,disadvantaged user
152,-122.48969,-5.3222833,disadvantaged user
153,33.785816,-40.685963,disadvantaged user
154,98.78403,8.322509,disadvantaged user
155,-36.515278,13.635356,disadvantaged user
156,45.52875,-31.161716,disadvantaged user
157,-31.670538,31.86983,disadvantaged user
158,-7.7464933,-78.51852,disadvantaged user
159,-63.18018,19.490036,disadvantaged user
160,4.6540155,35.564556,disadvantaged user
161,-66.2271,24.482277,disadvantaged user
162,37.517517,5.6620574,disadvantaged user
163,-8.483046,-40.19747,disadvantaged user
164,32.62629,-3.826856,disadvantaged user
165,26.643286,47.990795,disadvantaged user
166,-25.555275,-3.9324648,disadvantaged user
167,-0.18672249,-13.372629,disadvantaged user
168,-83.19858,2.658388,disadvantaged user
169,-18.425423,23.455717,disadvantaged user
170,46.651363,-29.811857,disadvantaged user
171,-34.129036,-10.139974,disadvantaged user
172,-76.982796,8.612455,disadvantaged user
173,-80.731445,12.2404995,disadvantaged user
174,34.842754,26.188711,disadvantaged user
175,85.87793,55.252357,disadvantaged user
176,-103.94719,-4.864111,disadvantaged user
177,48.14425,21.644735,disadvantaged user
178,-12.494638,6.3623843,disadvantaged user
179,-134.53078,-0.8563126,disadvantaged user
180,-56.26246,9.496431,disadvantaged user
181,-24.94869,-16.29284,disadvantaged user
182,-37.213867,4.4252753,disadvantaged user
183,31.69868,-7.958206,disadvantaged user
184,100.67084,9.543483,disadvantaged user
185,9.918041,90.45221,disadvantaged user
186,82.44553,-23.897255,disadvantaged user
187,14.691789,47.513725,disadvantaged user
188,45.073715,-6.728991,disadvantaged user
189,51.390175,13.803697,disadvantaged user
190,-22.104061,0.39997172,disadvantaged user
191,-15.630159,-31.473259,disadvantaged user
192,-65.31607,-8.212356,disadvantaged user
193,63.25806,21.611172,disadvantaged user
194,14.663483,23.286036,disadvantaged user
195,-11.163012,-71.31278,disadvantaged user
196,-110.38242,5.256455,disadvantaged user
197,3.840878,-78.91459,disadvantaged user
198,90.14809,9.516638,disadvantaged user
199,56.58412,-4.415112,disadvantaged user
200,-114.32134,-4.0229416,disadvantaged user
201,-61.535038,17.56828,disadvantaged user
202,-4.621959,13.734763,disadvantaged user
203,6.0115128,-0.58199775,disadvantaged user
204,40.75875,32.036175,disadvantaged user
205,9.947417,-58.933342,disadvantaged user
206,-47.759377,15.460531,disadvantaged user
207,26.04216,-1.2693679,disadvantaged user
208,27.224724,-50.16999,disadvantaged user
209,-19.716654,14.720423,disadvantaged user
210,91.77277,13.444431,disadvantaged user
211,54.069954,-59.63935,disadvantaged user
212,10.555089,32.201954,disadvantaged user
213,-111.75294,3.3754735,disadvantaged user
214,-70.56504,15.5766535,disadvantaged user
215,-9.977893,12.691229,disadvantaged user
216,-139.61069,3.5452998,disadvantaged user
217,75.26343,1.587594,disadvantaged user
218,78.88191,5.4987063,disadvantaged user
219,-17.462248,-36.612396,disadvantaged user
220,-131.27278,-7.392588,disadvantaged user
221,-31.10344,8.868542,disadvantaged user
222,-14.752726,-63.51835,disadvantaged user
223,-90.83415,3.3065672,disadvantaged user
224,-9.0412245,51.970947,disadvantaged user
225,43.58387,25.284132,disadvantaged user
226,-86.510574,-1.0739976,disadvantaged user
227,9.25754,-43.60407,disadvantaged user
228,-20.679081,32.57676,disadvantaged user
229,-36.657635,-2.9885457,disadvantaged user
230,77.32691,7.6909957,disadvantaged user
231,-46.461304,-29.658495,disadvantaged user
232,-4.639822,5.367651,disadvantaged user
233,53.947502,-22.560675,disadvantaged user
234,37.06695,-25.922207,disadvantaged user
235,22.174074,-59.98061,disadvantaged user
236,5.7948647,83.148895,disadvantaged user
237,70.860435,-49.81369,disadvantaged user
238,13.97169,20.888044,disadvantaged user
239,15.292245,-86.22036,disadvantaged user
240,12.227369,-25.681732,disadvantaged user
241,13.983727,5.0442557,disadvantaged user
242,39.567677,-22.767767,disadvantaged user
243,-62.087734,17.914686,disadvantaged user
244,-105.34353,-1.9627991,disadvantaged user
245,14.895255,0.27977192,disadvantaged user
246,-55.744625,-21.535595,disadvantaged user
247,-13.887184,-43.738777,disadvantaged user
248,-25.80972,-33.100983,disadvantaged user
