,x,y,type
0,-56.057045,-23.302687,disadvantaged user
1,-48.081142,-16.495714,disadvantaged user
2,-35.273705,27.063698,disadvantaged user
3,-78.337494,1.8208433,disadvantaged user
4,-79.418236,-5.7839622,disadvantaged user
5,78.285995,25.976309,disadvantaged user
6,23.955004,-27.60822,disadvantaged user
7,-51.37883,-14.678075,disadvantaged user
8,13.667439,-4.010816,disadvantaged user
9,-41.31979,-18.937836,disadvantaged user
10,19.272186,-11.686962,disadvantaged user
11,-23.730438,27.771261,disadvantaged user
12,-89.11455,17.906124,disadvantaged user
13,-31.78699,-6.4039683,disadvantaged user
14,0.9667012,-19.524347,disadvantaged user
15,39.80495,-13.045621,disadvantaged user
16,-2.3813093,-62.40862,disadvantaged user
17,-41.72999,-1.4305575,disadvantaged user
18,-3.0525677,23.055746,disadvantaged user
19,-59.23461,31.577015,disadvantaged user
20,60.854156,-20.01905,disadvantaged user
21,-8.088144,-64.59318,disadvantaged user
22,-14.704431,-11.924044,disadvantaged user
23,81.35827,26.95493,disadvantaged user
24,-7.855226,14.990461,disadvantaged user
25,14.913887,-6.140058,disadvantaged user
26,41.38327,-17.621313,disadvantaged user
27,-68.253914,24.923548,disadvantaged user
28,-3.030385,5.342856,disadvantaged user
29,19.146671,-3.344376,disadvantaged user
30,-46.199467,28.937124,disadvantaged user
31,63.6052,43.98925,disadvantaged user
32,-90.56669,17.577723,disadvantaged user
33,65.48389,36.349556,disadvantaged user
34,85.880974,15.998768,disadvantaged user
35,-90.08486,11.079569,disadvantaged user
36,90.9495,11.7916155,disadvantaged user
37,73.959465,27.193434,disadvantaged user
38,84.710556,-2.9127264,disadvantaged user
39,-31.198318,14.239493,disadvantaged user
40,-82.76756,-3.621929,disadvantaged user
41,-8.433499,-63.43016,disadvantaged user
42,0.62472606,2.2228572,disadvantaged user
43,14.4750185,-27.979198,disadvantaged user
44,33.79766,-27.733889,disadvantaged user
45,-11.659036,-9.266698,disadvantaged user
46,-9.211305,-63.71985,disadvantaged user
47,86.13228,-4.393456,disadvantaged user
48,88.48009,-4.2673516,disadvantaged user
49,83.21068,3.0276723,disadvantaged user
50,45.025017,-26.72626,disadvantaged user
51,91.28537,0.6962343,disadvantaged user
52,50.92843,-24.74717,disadvantaged user
53,79.06745,30.82545,disadvantaged user
54,-5.1667724,-60.07079,disadvantaged user
55,-29.424692,-3.4931817,disadvantaged user
56,15.766671,4.9279866,disadvantaged user
57,-85.91456,12.38561,disadvantaged user
58,57.31229,-13.364001,disadvantaged user
59,76.89907,22.444344,disadvantaged user
60,68.47541,-17.641443,disadvantaged user
61,70.536545,-19.954296,disadvantaged user
62,-28.219051,-9.199424,disadvantaged user
63,70.900406,-22.019707,disadvantaged user
64,79.692474,31.534698,disadvantaged user
65,-11.569858,-18.992376,disadvantaged user
66,-70.670525,-12.965797,disadvantaged user
67,4.7696047,-32.8946,disadvantaged user
68,-89.028786,3.9864407,disadvantaged user
69,-50.227562,17.883402,disadvantaged user
70,41.540417,-5.511357,disadvantaged user
71,-84.30004,25.48501,disadvantaged user
72,-76.73818,35.64327,disadvantaged user
73,28.141602,-0.17127544,disadvantaged user
74,-42.946873,-3.1325047,disadvantaged user
75,1.8699311,-21.644508,disadvantaged user
76,-7.3982778,-2.4229262,disadvantaged user
77,36.56614,-14.693718,disadvantaged user
78,-28.566936,18.906797,disadvantaged user
79,-75.05165,26.040705,disadvantaged user
80,-60.700893,9.917195,disadvantaged user
81,-19.316475,77.471,disadvantaged user
82,-44.421852,-1.305952,disadvantaged user
83,-50.538765,-19.88342,disadvantaged user
84,6.1786084,6.2846074,disadvantaged user
85,-20.01624,-17.352173,disadvantaged user
86,58.836876,-40.893852,disadvantaged user
87,0.8940641,-51.72441,disadvantaged user
88,-92.41572,24.47712,disadvantaged user
89,-55.8711,-23.495964,disadvantaged user
90,74.66453,31.13427,disadvantaged user
91,-40.05438,-12.999955,disadvantaged user
92,25.9526,-14.189762,disadvantaged user
93,6.329237,-26.263298,disadvantaged user
94,-54.87223,29.201742,disadvantaged user
95,37.704674,-18.014832,disadvantaged user
96,-29.246534,-19.979578,disadvantaged user
97,-32.078903,-31.651022,disadvantaged user
98,-101.752556,19.5188,disadvantaged user
99,-60.01126,-17.039646,disadvantaged user
100,5.31953,-6.69345,disadvantaged user
101,-66.74635,-10.2564535,disadvantaged user
102,6.365102,57.473194,disadvantaged user
103,-23.893173,-16.78823,disadvantaged user
104,86.98991,-0.8131758,disadvantaged user
105,-47.03852,18.92853,disadvantaged user
106,18.731379,-27.18997,disadvantaged user
107,11.480181,-2.3140752,disadvantaged user
108,90.548325,-5.280166,disadvantaged user
109,1.2781694,-64.960686,disadvantaged user
110,19.70911,6.112831,disadvantaged user
111,57.31229,-13.364001,disadvantaged user
112,-56.090576,33.45821,disadvantaged user
113,-93.22893,15.082905,disadvantaged user
114,-61.80332,-14.776186,disadvantaged user
115,-66.529076,9.406344,disadvantaged user
116,83.186,29.62255,disadvantaged user
117,-97.3091,19.735437,disadvantaged user
118,10.675989,-15.311553,disadvantaged user
119,-1.8670735,-48.937363,disadvantaged user
120,-49.412334,-0.1740139,disadvantaged user
121,-57.63532,33.778126,disadvantaged user
122,12.325796,-6.8299356,disadvantaged user
123,0.16950744,-53.97558,disadvantaged user
124,-72.50445,17.372934,disadvantaged user
125,-54.935368,11.406463,disadvantaged user
126,50.01163,-20.442148,disadvantaged user
127,-40.631874,6.069074,disadvantaged user
128,86.59698,24.356842,disadvantaged user
129,-8.264674,4.6784587,disadvantaged user
130,-42.140472,-4.646982,disadvantaged user
131,4.7938256,-32.94303,disadvantaged user
132,87.360855,2.4106162,disadvantaged user
133,-61.379513,-10.822662,disadvantaged user
134,84.90489,-17.205282,disadvantaged user
135,-79.842705,18.07707,disadvantaged user
136,62.848232,-14.51446,disadvantaged user
137,-57.52676,14.569298,disadvantaged user
138,-6.3995,-24.351654,disadvantaged user
139,15.325234,13.807535,disadvantaged user
140,84.85379,-3.0470827,disadvantaged user
141,-30.53997,4.661698,disadvantaged user
142,-90.91439,22.187674,disadvantaged user
143,-10.2689,-3.691535,disadvantaged user
144,31.374279,-33.14733,disadvantaged user
145,-15.51166,24.860855,disadvantaged user
146,-38.29902,21.272533,disadvantaged user
147,28.32807,-29.355005,disadvantaged user
148,67.59394,-19.052094,disadvantaged user
149,-61.053608,27.22081,disadvantaged user
150,8.709514,59.39109,disadvantaged user
151,-24.79542,2.5907922,disadvantaged user
152,67.89238,39.093346,disadvantaged user
153,-48.841003,-2.29113,disadvantaged user
154,-95.381165,21.826136,disadvantaged user
155,72.71737,-21.501675,disadvantaged user
156,-63.43175,-6.456698,disadvantaged user
157,79.17748,-7.901882,disadvantaged user
158,1.9847621,-60.986233,disadvantaged user
159,84.2567,-5.331829,disadvantaged user
160,-5.4167266,8.825767,disadvantaged user
161,82.618355,30.394436,disadvantaged user
162,-36.402916,-13.002658,disadvantaged user
163,-17.24174,26.135954,disadvantaged user
164,-11.662231,5.344656,disadvantaged user
165,-33.891174,28.36036,disadvantaged user
166,54.416378,-26.306112,disadvantaged user
167,29.107925,-23.399855,disadvantaged user
168,88.025536,2.291193,disadvantaged user
169,23.263832,-5.2202153,disadvantaged user
170,-65.66035,-11.165396,disadvantaged user
171,45.72067,-24.075165,disadvantaged user
172,55.627136,-14.137167,disadvantaged user
173,87.44751,17.179926,disadvantaged user
174,-18.097872,16.69944,disadvantaged user
175,-20.074684,72.44274,disadvantaged user
176,90.9495,11.7916155,disadvantaged user
177,-37.95095,2.2220654,disadvantaged user
178,0.13667843,-33.607025,disadvantaged user
179,60.11517,46.082657,disadvantaged user
180,37.26406,-9.759476,disadvantaged user
181,36.867306,4.22768,disadvantaged user
182,45.025017,-26.72626,disadvantaged user
183,8.8730345,16.650112,disadvantaged user
184,-84.57173,30.992495,disadvantaged user
185,-64.76081,32.162327,disadvantaged user
186,-51.8056,3.4259608,disadvantaged user
187,-57.827946,11.404416,disadvantaged user
188,-56.038494,15.2627125,disadvantaged user
189,-67.2815,23.019716,disadvantaged user
190,33.449276,-35.745125,disadvantaged user
191,-5.741087,-39.425682,disadvantaged user
192,72.935104,-23.803246,disadvantaged user
193,-78.337494,1.8208433,disadvantaged user
194,23.030695,-14.335032,disadvantaged user
195,10.654025,-60.687244,disadvantaged user
196,83.453445,28.375,disadvantaged user
197,-6.1858783,-59.848793,disadvantaged user
198,-38.618263,-6.1260486,disadvantaged user
199,-17.574392,5.516582,disadvantaged user
200,70.120346,37.614704,disadvantaged user
201,69.68086,-14.050819,disadvantaged user
202,14.005796,-8.027776,disadvantaged user
203,30.434887,-33.3284,disadvantaged user
204,-83.62002,-0.63452554,disadvantaged user
205,11.133384,-10.866819,disadvantaged user
206,30.41189,2.552045,disadvantaged user
207,24.493906,-30.246037,disadvantaged user
208,-68.11214,10.466705,disadvantaged user
209,24.680357,-31.22671,disadvantaged user
210,-76.04779,23.241783,disadvantaged user
211,-74.12612,19.344963,disadvantaged user
212,-28.18279,-8.244003,disadvantaged user
213,64.22725,43.471615,disadvantaged user
214,58.48349,-15.500801,disadvantaged user
215,-2.1474736,-10.645661,disadvantaged user
216,51.742,50.429806,disadvantaged user
217,16.118954,0.74454564,disadvantaged user
218,-60.139095,20.560724,disadvantaged user
219,-30.860544,15.084976,disadvantaged user
220,61.748158,46.357697,disadvantaged user
221,24.823383,-16.271896,disadvantaged user
222,-1.2117958,-55.229263,disadvantaged user
223,69.42174,-11.316828,disadvantaged user
224,-56.839516,23.52073,disadvantaged user
225,-69.955345,5.299442,disadvantaged user
226,82.513596,-6.3600183,disadvantaged user
227,-59.367844,21.680033,disadvantaged user
228,40.200005,-6.557737,disadvantaged user
229,60.157265,-18.607264,disadvantaged user
230,-75.11673,26.767813,disadvantaged user
231,50.665905,-24.47417,disadvantaged user
