,x,y,type
0,36.492134,24.536718,disadvantaged user
1,41.675648,-12.794448,disadvantaged user
2,-15.293202,24.161766,disadvantaged user
3,21.968807,31.102415,disadvantaged user
4,85.42878,-11.523739,disadvantaged user
5,-110.039986,-8.595306,disadvantaged user
6,6.0578747,9.61439,disadvantaged user
7,44.295044,30.390182,disadvantaged user
8,7.288021,39.413383,disadvantaged user
9,4.46761,11.154508,disadvantaged user
10,-18.034138,-9.630202,disadvantaged user
11,26.257082,-8.628974,disadvantaged user
12,81.23787,24.438194,disadvantaged user
13,64.77412,37.72172,disadvantaged user
14,23.832056,-22.290773,disadvantaged user
15,-33.26645,-12.272753,disadvantaged user
16,-1.2010989,-80.17634,disadvantaged user
17,-2.4314854,60.338547,disadvantaged user
18,40.22801,6.834072,disadvantaged user
19,79.43822,23.284256,disadvantaged user
20,-28.815393,-38.148174,disadvantaged user
21,-0.12873913,-84.69276,disadvantaged user
22,24.130651,-16.955914,disadvantaged user
23,-104.00718,-4.369502,disadvantaged user
24,-14.3873825,17.64545,disadvantaged user
25,-19.297024,46.955986,disadvantaged user
26,21.286814,7.6684647,disadvantaged user
27,72.82094,39.850178,disadvantaged user
28,16.494427,29.461098,disadvantaged user
29,-8.174717,13.201337,disadvantaged user
30,-27.79363,29.961779,disadvantaged user
31,-116.18231,23.246212,disadvantaged user
32,73.21717,-1.0399791,disadvantaged user
33,-123.04945,6.1899953,disadvantaged user
34,-109.93052,-6.8422213,disadvantaged user
35,80.20366,-12.827876,disadvantaged user
36,-108.75251,-4.5432224,disadvantaged user
37,-116.52723,-11.319702,disadvantaged user
38,-89.63869,-6.602385,disadvantaged user
39,16.67999,-46.9535,disadvantaged user
40,44.108597,2.0772667,disadvantaged user
41,-0.8634745,-86.01769,disadvantaged user
42,-19.023468,-48.173023,disadvantaged user
43,-37.81842,-16.076963,disadvantaged user
44,-20.443295,-33.765827,disadvantaged user
45,-7.9615574,-49.095646,disadvantaged user
46,4.833561,-85.52352,disadvantaged user
47,-88.45495,3.8818302,disadvantaged user
48,-83.81245,-11.15566,disadvantaged user
49,-93.7621,-6.984827,disadvantaged user
50,-18.626125,-7.988161,disadvantaged user
51,-108.90888,-7.38814,disadvantaged user
52,-46.07065,-17.937403,disadvantaged user
53,-111.76909,7.2506175,disadvantaged user
54,3.6734827,-77.87009,disadvantaged user
55,41.19093,-29.750248,disadvantaged user
56,-40.123295,8.660826,disadvantaged user
57,65.47495,2.062526,disadvantaged user
58,-38.22497,-21.355337,disadvantaged user
59,-92.99313,-17.712885,disadvantaged user
60,-82.47754,-11.634912,disadvantaged user
61,-60.727432,-17.109417,disadvantaged user
62,10.335641,46.632805,disadvantaged user
63,-55.75304,-19.664164,disadvantaged user
64,-118.424355,2.9260747,disadvantaged user
65,15.655297,10.748352,disadvantaged user
66,62.4927,12.097515,disadvantaged user
67,-81.53252,5.6881046,disadvantaged user
68,34.504486,-56.65731,disadvantaged user
69,63.372272,12.411889,disadvantaged user
70,-42.424274,12.45821,disadvantaged user
71,78.41088,27.780428,disadvantaged user
72,96.34448,41.474266,disadvantaged user
73,-25.310717,9.3369055,disadvantaged user
74,46.214397,25.078836,disadvantaged user
75,-11.763306,-18.2712,disadvantaged user
76,-26.910772,32.499134,disadvantaged user
77,-44.39202,11.406303,disadvantaged user
78,37.85612,35.773827,disadvantaged user
79,49.958534,3.234404,disadvantaged user
80,49.307617,10.010438,disadvantaged user
81,62.230938,84.75315,disadvantaged user
82,-11.108493,29.546358,disadvantaged user
83,23.894115,30.758251,disadvantaged user
84,-9.401932,19.868176,disadvantaged user
85,29.13047,-23.294115,disadvantaged user
86,-48.43494,-21.322395,disadvantaged user
87,-7.317068,-69.56285,disadvantaged user
88,87.218346,-6.997298,disadvantaged user
89,-32.982685,23.968035,disadvantaged user
90,-121.40433,-8.5985985,disadvantaged user
91,23.943098,-14.97748,disadvantaged user
92,0.30147177,5.07315,disadvantaged user
93,-24.444809,-67.16945,disadvantaged user
94,95.468124,31.763432,disadvantaged user
95,-48.027454,-35.608418,disadvantaged user
96,12.837051,-12.1042595,disadvantaged user
97,41.839676,13.742299,disadvantaged user
98,89.36536,-36.898243,disadvantaged user
99,34.38395,-9.251675,disadvantaged user
100,-0.30282465,-7.289567,disadvantaged user
101,89.79619,43.595356,disadvantaged user
102,11.75396,90.79715,disadvantaged user
103,34.2652,-9.292526,disadvantaged user
104,-80.85371,-11.308936,disadvantaged user
105,2.0928364,35.976776,disadvantaged user
106,-32.160854,-34.278446,disadvantaged user
107,-22.837126,8.538796,disadvantaged user
108,-69.34157,-25.746422,disadvantaged user
109,-1.7211677,-84.62585,disadvantaged user
110,-7.391623,-24.864637,disadvantaged user
111,-38.22497,-21.355337,disadvantaged user
112,87.1791,52.202427,disadvantaged user
113,87.32714,12.573357,disadvantaged user
114,0.743704,40.348396,disadvantaged user
115,51.05821,-8.818686,disadvantaged user
116,-106.21282,0.39192194,disadvantaged user
117,95.784096,-26.452127,disadvantaged user
118,-11.584799,36.915695,disadvantaged user
119,88.75656,49.407974,disadvantaged user
120,34.770107,-25.702356,disadvantaged user
121,74.38817,48.171494,disadvantaged user
122,33.741127,8.2703085,disadvantaged user
123,-4.0977097,-64.97545,disadvantaged user
124,53.651848,41.73089,disadvantaged user
125,62.40921,-39.390636,disadvantaged user
126,-41.79881,-16.491718,disadvantaged user
127,33.14322,-18.064383,disadvantaged user
128,-122.00697,4.488227,disadvantaged user
129,23.913795,-22.27272,disadvantaged user
130,63.428032,-20.100023,disadvantaged user
131,-24.344133,-9.511301,disadvantaged user
132,-88.09667,-4.65039,disadvantaged user
133,25.125948,31.831175,disadvantaged user
134,-53.66027,-38.045807,disadvantaged user
135,25.890774,-30.365164,disadvantaged user
136,-28.292507,-54.33231,disadvantaged user
137,63.651176,-14.051177,disadvantaged user
138,-6.923939,-44.317795,disadvantaged user
139,-13.2126255,39.284184,disadvantaged user
140,-90.257225,-5.6228204,disadvantaged user
141,47.069817,-9.618483,disadvantaged user
142,65.0015,45.617188,disadvantaged user
143,-10.239687,18.280605,disadvantaged user
144,-45.31477,-17.389952,disadvantaged user
145,71.02283,50.583103,disadvantaged user
146,37.622803,-46.43289,disadvantaged user
147,-24.61634,-33.80231,disadvantaged user
148,-61.618744,-14.701024,disadvantaged user
149,84.189606,27.906889,disadvantaged user
150,10.306306,94.920334,disadvantaged user
151,48.23529,4.0638433,disadvantaged user
152,-117.35271,20.601585,disadvantaged user
153,27.373306,10.875945,disadvantaged user
154,90.46753,16.450266,disadvantaged user
155,-25.174873,-36.911087,disadvantaged user
156,43.409252,-39.339855,disadvantaged user
157,-55.83226,17.293123,disadvantaged user
158,-2.3690329,-75.726685,disadvantaged user
159,-70.31606,2.7640226,disadvantaged user
160,-3.8108432,18.028873,disadvantaged user
161,-79.35392,4.4079533,disadvantaged user
162,34.191784,4.16796,disadvantaged user
163,-3.4797082,-31.621708,disadvantaged user
164,30.909521,-10.455423,disadvantaged user
165,9.127513,37.580486,disadvantaged user
166,-45.091125,-9.500684,disadvantaged user
167,-6.9336925,-14.652353,disadvantaged user
168,-93.13168,-8.954756,disadvantaged user
169,-29.653898,5.2094035,disadvantaged user
170,52.85632,-5.1455283,disadvantaged user
171,-17.823284,-18.547642,disadvantaged user
172,-87.24826,-6.167492,disadvantaged user
173,-90.63115,1.2924916,disadvantaged user
174,60.30014,3.7474928,disadvantaged user
175,89.74431,55.809937,disadvantaged user
176,-108.75251,-4.5432224,disadvantaged user
177,61.491787,8.230353,disadvantaged user
178,-2.1635227,-13.168044,disadvantaged user
179,-113.95293,28.094337,disadvantaged user
180,-40.3475,-8.117505,disadvantaged user
181,-19.592777,-10.382785,disadvantaged user
182,-18.626125,-7.988161,disadvantaged user
183,35.157883,71.53282,disadvantaged user
184,90.21799,17.755287,disadvantaged user
185,14.343957,93.0347,disadvantaged user
186,66.96565,-34.288452,disadvantaged user
187,-3.426462,30.369934,disadvantaged user
188,49.852688,5.3752503,disadvantaged user
189,50.348267,11.440238,disadvantaged user
190,-31.255518,-14.344097,disadvantaged user
191,-11.619652,-37.76357,disadvantaged user
192,-63.643696,-19.997341,disadvantaged user
193,21.968807,31.102415,disadvantaged user
194,36.177715,9.745903,disadvantaged user
195,-6.869881,-70.644516,disadvantaged user
196,-100.492874,3.1230278,disadvantaged user
197,6.2197876,-78.49346,disadvantaged user
198,85.398575,3.395464,disadvantaged user
199,52.89633,6.7194443,disadvantaged user
200,-119.10392,12.221613,disadvantaged user
201,-59.117477,-2.6406903,disadvantaged user
202,-26.29161,20.548048,disadvantaged user
203,8.011044,33.130104,disadvantaged user
204,32.01802,35.279224,disadvantaged user
205,27.204718,-59.72778,disadvantaged user
206,-23.886246,-55.227196,disadvantaged user
207,33.13519,-18.04451,disadvantaged user
208,35.85511,-45.630726,disadvantaged user
209,-24.365381,10.350578,disadvantaged user
210,85.02467,7.79205,disadvantaged user
211,72.55066,-56.50825,disadvantaged user
212,4.511429,13.022118,disadvantaged user
213,-116.090225,7.622534,disadvantaged user
214,-82.4647,0.2652777,disadvantaged user
215,4.2798033,8.372261,disadvantaged user
216,-107.74777,33.200443,disadvantaged user
217,-11.97075,25.982752,disadvantaged user
218,59.463654,10.400287,disadvantaged user
219,-36.8848,-52.75262,disadvantaged user
220,-113.65127,34.00654,disadvantaged user
221,-15.461186,-4.3714776,disadvantaged user
222,-13.384047,-66.42248,disadvantaged user
223,-99.916794,2.6721365,disadvantaged user
224,-14.09705,20.903433,disadvantaged user
225,39.624474,60.424503,disadvantaged user
226,-90.520195,-6.950658,disadvantaged user
227,17.13321,-37.65357,disadvantaged user
228,-27.754812,14.738303,disadvantaged user
229,-23.425571,-13.075408,disadvantaged user
230,60.95443,48.49964,disadvantaged user
231,-47.31355,-38.430984,disadvantaged user
232,-55.70889,25.552479,disadvantaged user
233,40.954124,-16.449203,disadvantaged user
234,73.67713,-39.03584,disadvantaged user
235,13.888092,-57.829605,disadvantaged user
236,10.629016,86.207756,disadvantaged user
237,42.528595,-76.12494,disadvantaged user
238,15.202876,-48.83365,disadvantaged user
239,13.49056,-80.778305,disadvantaged user
240,20.965555,-39.964176,disadvantaged user
241,3.924178,-32.3009,disadvantaged user
242,67.04638,-17.213139,disadvantaged user
243,-58.493378,3.9705884,disadvantaged user
244,-111.986206,-6.2009506,disadvantaged user
245,14.307234,-9.237219,disadvantaged user
246,-31.66109,-8.638453,disadvantaged user
247,-34.274906,7.602369,disadvantaged user
248,-21.169521,-35.23738,disadvantaged user
249,-25.462486,-7.4182234,disadvantaged user
250,19.518177,10.66197,disadvantaged user
251,40.71875,-14.498727,disadvantaged user
252,14.307234,-9.237219,disadvantaged user
253,-0.7327937,-59.23135,disadvantaged user
254,11.282312,-41.476257,disadvantaged user
255,103.65779,26.898134,disadvantaged user
256,25.132261,-43.127705,disadvantaged user
257,41.62242,-48.75334,disadvantaged user
258,9.956004,-16.552015,disadvantaged user
259,-5.510893,-76.33218,disadvantaged user
260,-109.750755,-6.4393673,disadvantaged user
261,-11.286698,-45.275402,disadvantaged user
262,-126.869995,15.954493,disadvantaged user
263,-28.337517,-8.944318,disadvantaged user
264,-116.823,0.22356428,disadvantaged user
265,71.955475,33.70748,disadvantaged user
266,11.855636,29.792536,disadvantaged user
267,75.38332,68.645004,disadvantaged user
268,25.622051,-26.02981,disadvantaged user
269,-4.209963,-4.082757,disadvantaged user
270,100.261444,-28.851725,disadvantaged user
271,-11.437532,44.08673,disadvantaged user
272,14.199159,89.50806,disadvantaged user
273,21.523815,-33.24304,disadvantaged user
274,75.81706,-36.54521,disadvantaged user
275,74.157074,48.0181,disadvantaged user
276,81.79965,-11.446469,disadvantaged user
277,-85.09979,-10.911326,disadvantaged user
278,-10.030339,22.81972,disadvantaged user
279,-94.597374,-1.0978127,disadvantaged user
280,75.0355,-33.25703,disadvantaged user
281,-14.453254,11.902724,disadvantaged user
282,42.818264,-5.851491,disadvantaged user
283,-91.25522,-13.850626,disadvantaged user
284,-20.17442,-19.013025,disadvantaged user
285,60.0399,15.763162,disadvantaged user
286,-9.204286,-45.79029,disadvantaged user
287,-63.304665,12.307526,disadvantaged user
288,83.345856,-1.0878118,disadvantaged user
289,-7.455005,30.586475,disadvantaged user
290,52.82598,-34.627075,disadvantaged user
291,35.79619,19.990076,disadvantaged user
292,67.696526,15.649949,disadvantaged user
293,49.118996,-58.92776,disadvantaged user
294,17.419586,-86.12013,disadvantaged user
295,-47.731182,-25.822077,disadvantaged user
296,35.28607,5.1516495,disadvantaged user
297,40.008274,32.008224,disadvantaged user
298,-74.33732,-1.1876725,disadvantaged user
299,3.231842,-74.11366,disadvantaged user
300,-60.45027,-23.288815,disadvantaged user
301,-19.625755,25.909254,disadvantaged user
302,2.3891242,3.7389092,disadvantaged user
303,-11.29765,40.709557,disadvantaged user
304,-2.9990783,-10.525564,disadvantaged user
305,-71.38408,-0.6112217,disadvantaged user
306,-45.091125,-9.500684,disadvantaged user
307,48.22758,4.082185,disadvantaged user
308,33.679256,-59.510197,disadvantaged user
309,-119.410675,9.002176,disadvantaged user
310,-36.53453,54.829266,disadvantaged user
